자치구코드,자치구명,법정동코드,법정동명,본번,부번,건물명,계약일,물건금액,건물면적,층,건축년도,건물용도,신고구분
11650,서초구,10800,서초동,1685,0003,아크로비스타,20230130,247000,149.08,7,2004,아파트,중개거래
11650,서초구,10700,반포동,0060,0005,반포미도2차아파트,20230130,152000,59.07,13,1989,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230129,775000,198.04,22,2009,아파트,중개거래
11650,서초구,10100,방배동,0847,0034,방배대우유로카운티,20230129,280000,202.4,10,2002,아파트,중개거래
11650,서초구,10300,우면동,0773,0000,서초힐스,20230128,126500,74.97,9,2012,아파트,중개거래
11650,서초구,10300,우면동,0788,0000,엘에이치서초4단지,20230128,107000,59.93,20,2013,아파트,중개거래
11650,서초구,10700,반포동,0046,0000,엠브이아파트,20230127,127500,83.4,17,1994,아파트,중개거래
11650,서초구,10800,서초동,1509,0001,서초한빛삼성,20230127,105000,59.52,1,1999,아파트,직거래
11650,서초구,10700,반포동,0060,0004,반포미도,20230126,212000,84.96,1,1987,아파트,중개거래
11650,서초구,10700,반포동,0054,0005,반포두산힐스빌,20230126,90000,47.7,9,2001,아파트,중개거래
11650,서초구,10600,잠원동,0053,0015,강변,20230126,135000,66.29,1,1987,아파트,중개거래
11650,서초구,10100,방배동,0884,0021,대림e-편한세상1,20230122,250000,164.25,14,2003,아파트,중개거래
11650,서초구,10100,방배동,0847,0034,방배대우유로카운티,20230121,430000,216.15,13,2002,아파트,중개거래
11650,서초구,10700,반포동,0030,0026,반포리체,20230121,219000,59.99,29,2010,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230120,285000,72.51,1,1974,아파트,중개거래
11650,서초구,10600,잠원동,0071,0011,한신타워,20230120,143000,59.81,16,1996,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20230119,284000,84.98,21,2009,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230118,276000,72.51,4,1974,아파트,중개거래
11650,서초구,10900,내곡동,0001,0000,서초더샵포레,20230118,159500,101.34,12,2014,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230118,167000,74.3,4,2006,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230117,204000,84.98,7,2006,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230117,240000,72.51,4,1974,아파트,중개거래
11650,서초구,10700,반포동,1342,0000,반포써밋,20230117,203000,59.92,14,2018,아파트,중개거래
11650,서초구,10800,서초동,1338,0000,현대이에스에이아파트,20230117,180000,163.95,11,2002,아파트,중개거래
11650,서초구,10700,반포동,0060,0005,반포미도2차아파트,20230116,150000,59.07,4,1989,아파트,중개거래
11650,서초구,10700,반포동,0001,0001,래미안 원베일리,20230116,1000000,200.93,35,0,아파트,중개거래
11650,서초구,10700,반포동,0001,0001,래미안 원베일리,20230116,1000000,200.93,35,0,아파트,중개거래
11650,서초구,10700,반포동,0757,0000,반포주공1단지,20230116,430000,106.26,2,1973,아파트,중개거래
11650,서초구,10800,서초동,1446,0011,현대슈퍼빌,20230116,330000,214.92,24,2003,아파트,중개거래
11650,서초구,10700,반포동,0612,0002,반포2차ApelBaum,20230116,368000,243.7,1,2007,아파트,중개거래
11650,서초구,10600,잠원동,0061,0002,신반포19,20230116,183500,81.01,1,1982,아파트,중개거래
11650,서초구,10900,내곡동,0001,0000,서초더샵포레,20230115,145000,101.31,3,2014,아파트,중개거래
11650,서초구,10800,서초동,1337,0003,urbanplace,20230114,21000,21,6,2014,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230113,268000,72.51,4,1974,아파트,중개거래
11650,서초구,10700,반포동,0757,0000,반포주공1단지,20230112,490000,107.47,3,1973,아파트,중개거래
11650,서초구,10600,잠원동,0063,0002,신반포청구,20230112,199000,84.86,12,1998,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230112,329000,84.93,17,2009,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20230111,235000,59.98,12,2009,아파트,중개거래
11650,서초구,10700,반포동,1342,0000,반포써밋,20230111,245000,84.97,34,2018,아파트,중개거래
11650,서초구,10800,서초동,1685,0000,삼풍아파트,20230111,204000,79.47,9,1988,아파트,중개거래
11650,서초구,10800,서초동,1682,0000,서초래미안,20230111,238000,126.31,13,2003,아파트,중개거래
11650,서초구,10600,잠원동,0056,0003,한신,20230111,204000,84.52,4,1992,아파트,중개거래
11650,서초구,10300,우면동,0057,0000,대림,20230110,158000,130.89,6,1995,아파트,중개거래
11650,서초구,10800,서초동,1593,0007,서초이오빌,20230110,38500,36.66,8,2003,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230110,254000,72.51,3,1974,아파트,중개거래
11650,서초구,10600,잠원동,0071,0012,킴스빌리지,20230110,85000,30.18,8,1996,아파트,중개거래
11650,서초구,10800,서초동,1685,0003,아크로비스타,20230109,225000,149.08,12,2004,아파트,중개거래
11650,서초구,10700,반포동,0114,0001,더샵반포리버파크,20230107,113500,49.99,4,0,아파트,중개거래
11650,서초구,10900,내곡동,0000,0000,서초포레스타2단지,20230107,125000,84.87,11,2015,아파트,중개거래
11650,서초구,10700,반포동,0757,0000,반포주공1단지,20230103,545000,140.33,3,1973,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230101,300000,84.85,19,2009,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20241231,442000,84.93,15,2009,아파트,중개거래
11650,서초구,10600,잠원동,0060,0003,메이플자이,20241231,577584,124.423,18,0,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20241231,295000,59.98,3,2009,아파트,중개거래
11650,서초구,10800,서초동,1755,0000,래미안 리더스원,20241231,270000,59.97,13,2020,아파트,중개거래
11650,서초구,10100,방배동,0971,0008,네스코뮤즈빌(A),20241231,140000,132.74,6,2003,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241231,700000,129.92,11,2016,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241230,382000,59.96,5,2023,아파트,중개거래
11650,서초구,10800,서초동,1315,0000,진흥아파트,20241230,339000,160.46,8,1979,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241230,382000,59.96,5,2023,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241230,650000,112.96,16,2016,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241230,648000,112.98,20,2016,아파트,중개거래
11650,서초구,10600,잠원동,0070,0000,신반포4,20241230,435000,137.1,1,1979,아파트,중개거래
11650,서초구,10600,잠원동,0070,0000,신반포4,20241230,460000,137.1,11,1979,아파트,중개거래
11650,서초구,10100,방배동,0899,0016,브라운스톤방배,20241230,191000,84.96,9,2005,아파트,중개거래
11650,서초구,10100,방배동,1010,0001,방배임광3차,20241230,135200,65.85,3,1988,아파트,중개거래
11650,서초구,10800,서초동,1682,0000,서초래미안,20241230,277000,111.32,7,2003,아파트,중개거래
11650,서초구,10800,서초동,1311,0010,서초푸르지오써밋,20241229,304000,84.93,9,2017,아파트,중개거래
11650,서초구,10600,잠원동,0160,0000,신반포자이,20241228,295000,59.86,10,2018,아파트,중개거래
11650,서초구,10600,잠원동,0063,0002,신반포청구,20241228,254000,84.86,7,1998,아파트,중개거래
11650,서초구,10300,우면동,0773,0000,서초힐스,20241228,155000,84.96,24,2012,아파트,중개거래
11650,서초구,10700,반포동,0016,0006,반포힐스테이트,20241228,486000,155.95,3,2012,아파트,중개거래
11650,서초구,10700,반포동,0030,0026,반포리체,20241228,280000,59.993,26,2010,아파트,중개거래
11650,서초구,10700,반포동,0010,0000,반포푸르지오,20241227,205000,59.91,11,2000,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241227,510000,84.98,11,2023,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241227,327500,68.91,12,1978,아파트,중개거래
11650,서초구,10100,방배동,0906,0013,서리풀e편한세상,20241227,265000,84.97,15,2010,아파트,중개거래
11650,서초구,10800,서초동,1467,0097,서초금호어울림,20241227,198000,146.13,13,2001,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241226,1060000,133.95,28,2023,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20241226,690000,198.22,21,2009,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20241226,650000,168.65,9,2009,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241226,450000,107.31,10,1978,아파트,중개거래
11650,서초구,10200,양재동,0090,0000,신영체르니,20241226,58000,39.1,4,2002,아파트,중개거래
11650,서초구,10100,방배동,1038,0000,대우(효령),20241226,177500,84.91,4,1992,아파트,중개거래
11650,서초구,10800,서초동,1315,0000,진흥아파트,20241226,301000,131.04,8,1979,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241225,720000,129.92,23,2016,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241225,320000,68.91,6,1978,아파트,중개거래
11650,서초구,10800,서초동,1755,0000,래미안 리더스원,20241224,320000,84.93,12,2020,아파트,중개거래
11650,서초구,10800,서초동,1755,0000,래미안 리더스원,20241224,270000,59.97,26,2020,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241224,430000,107.31,3,1978,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241224,482000,84.99,20,2016,아파트,중개거래
11650,서초구,10800,서초동,1529,0000,서초2차e-편한세상,20241224,210000,116.745,13,2005,아파트,중개거래
11650,서초구,10800,서초동,1311,0010,서초푸르지오써밋,20241224,327000,104.11,10,2017,아파트,중개거래
11650,서초구,10700,반포동,0002,0012,아크로리버파크,20241224,365000,59.97,11,2016,아파트,중개거래
11650,서초구,10800,서초동,1641,0001,서초삼성래미안,20241224,185000,84.97,2,2001,아파트,중개거래
11650,서초구,10700,반포동,0065,0001,궁전,20241224,234000,117.11,5,1984,아파트,중개거래
11650,서초구,10200,양재동,0359,0000,새티스,20241223,135000,116.79,4,2000,아파트,중개거래
11650,서초구,10600,잠원동,0070,0000,신반포4,20241223,334800,100.11,5,1979,아파트,직거래
11650,서초구,10800,서초동,1757,0000,서초그랑자이,20241223,338000,84.51,24,2021,아파트,중개거래
11650,서초구,10300,우면동,0057,0000,대림,20241223,177000,130.89,9,1995,아파트,중개거래
11650,서초구,10100,방배동,1010,0001,방배임광3차,20241223,66000,44.61,9,1988,아파트,직거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241222,360000,59.96,10,2023,아파트,중개거래
11650,서초구,10700,반포동,0070,0001,한신서래,20241221,142000,45.72,1,1987,아파트,중개거래
11650,서초구,10600,잠원동,0157,0000,동아,20241221,268000,84.91,15,2002,아파트,중개거래
11650,서초구,10100,방배동,3283,0000,방배그랑자이,20241221,297500,84.971,19,2021,아파트,중개거래
11650,서초구,10100,방배동,3283,0000,방배그랑자이,20241221,202000,54.995,8,2021,아파트,중개거래
11650,서초구,10100,방배동,3279,0000,방배 서리풀 그랑블,20241221,182000,84.979,6,2019,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20241221,296600,59.98,14,2009,아파트,중개거래
11650,서초구,10100,방배동,1008,0002,래미안방배아트힐(1008-2),20241221,254000,163.31,19,2004,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20241221,670000,168.65,19,2009,아파트,중개거래
11650,서초구,10800,서초동,1648,0002,서초현대,20241221,125000,54.45,12,1999,아파트,중개거래
11650,서초구,10600,잠원동,0065,0032,신반포7,20241220,380000,140.04,2,1980,아파트,중개거래
11650,서초구,10600,잠원동,0073,0000,신반포2,20241220,375000,92.2,4,1978,아파트,중개거래
11650,서초구,10800,서초동,1311,0010,서초푸르지오써밋,20241220,280000,74.96,10,2017,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20241220,435000,84.93,10,2009,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20241220,265000,84.98,14,2006,아파트,중개거래
11650,서초구,10600,잠원동,0162,0000,반포센트럴자이,20241220,468500,98.87,19,2020,아파트,중개거래
11650,서초구,10100,방배동,2001,0000,방배2차현대홈타운,20241220,260000,147.26,8,2001,아파트,중개거래
