기준_년분기_코드,행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,점포_수,프랜차이즈_점포_수,개업_점포_수,폐업_점포_수,총_유동인구_수,주요_상권유형,연도,분기
20221,11170640,이촌2동,850403647.0,115446,1,6,0,0,1858892.0,골목상권,2022,1
20221,11170650,이태원1동,7254474850.0,760899,7,18,0,0,2458747.0,골목상권,2022,1
20221,11170660,이태원2동,1177550244.0,142908,3,7,0,1,2846523.0,골목상권,2022,1
20221,11170685,한남동,3178992090.0,445020,4,21,0,0,6027435.0,골목상권,2022,1
20221,11170690,서빙고동,341215493.0,41036,6,3,0,0,1993764.0,골목상권,2022,1
20221,11170700,보광동,1748513325.0,201051,1,7,0,1,4353112.0,골목상권,2022,1
20221,11200520,왕십리2동,750279682.0,107591,1,8,0,0,4639702.0,골목상권,2022,1
20221,11200535,왕십리도선동,2639616424.0,352126,11,22,3,1,6172639.0,골목상권,2022,1
20221,11200540,마장동,2506279323.0,318007,2,12,0,1,5597592.0,골목상권,2022,1
20221,11200550,사근동,3980479075.0,855309,10,24,0,1,4063205.0,골목상권,2022,1
20221,11200560,행당1동,1925658419.0,322190,10,19,1,1,3878188.0,골목상권,2022,1
20221,11200570,행당2동,770718165.0,113855,2,7,0,0,4903561.0,,2022,1
20221,11200590,금호1가동,387118140.0,53282,0,4,0,0,4041581.0,골목상권,2022,1
20221,11200615,금호2·3가동,1011128708.0,133109,5,10,2,2,,골목상권,2022,1
20221,11200620,금호4가동,281479806.0,35746,3,6,1,0,3018820.0,골목상권,2022,1
20221,11200645,옥수동,291246325.0,39609,2,8,0,0,3084897.0,골목상권,2022,1
20221,11200650,성수1가1동,267328736.0,41104,3,9,0,0,3059536.0,골목상권,2022,1
20221,11200660,성수1가2동,2441051356.0,376386,6,20,1,0,5549629.0,골목상권,2022,1
20221,11200670,성수2가1동,2960216563.0,392827,4,20,0,0,5407268.0,골목상권,2022,1
20221,11200690,성수2가3동,8021478201.0,1283970,7,44,1,1,5350939.0,골목상권,2022,1
20221,11200720,송정동,730111053.0,99303,1,5,0,0,3426911.0,골목상권,2022,1
20221,11200790,용답동,1504040904.0,230542,5,14,2,2,3371728.0,골목상권,2022,1
20221,11215710,화양동,9206390346.0,1219729,20,47,5,0,9321796.0,골목상권,2022,1
20221,11215730,군자동,1599766411.0,233885,3,18,0,1,5365511.0,골목상권,2022,1
20221,11215740,중곡1동,2519230462.0,325581,2,12,3,1,4088856.0,골목상권,2022,1
20221,11215750,중곡2동,2224333351.0,310210,8,16,1,2,5043000.0,골목상권,2022,1
20221,11215760,중곡3동,1496959994.0,210440,3,11,1,0,4869782.0,골목상권,2022,1
20221,11215770,중곡4동,1645066304.0,213454,4,15,1,0,7024905.0,골목상권,2022,1
20221,11215780,능동,1090849062.0,165660,5,12,1,0,2383544.0,골목상권,2022,1
20221,11215810,광장동,2590872444.0,336535,2,21,0,1,6128337.0,골목상권,2022,1
20221,11215820,자양1동,2666659601.0,386552,4,20,0,2,8481450.0,골목상권,2022,1
20221,11215830,자양2동,1433400633.0,192793,10,15,2,0,5532097.0,골목상권,2022,1
20221,11215840,자양3동,2925797338.0,345656,6,16,0,1,7343755.0,골목상권,2022,1
20221,11215847,자양4동,2842292446.0,435301,3,20,0,1,8027066.0,전통시장,2022,1
20221,11215850,구의1동,1683357334.0,242281,9,18,2,1,8689227.0,골목상권,2022,1
20221,11215860,구의2동,1844290761.0,260285,4,12,0,0,5627583.0,골목상권,2022,1
20221,11215870,구의3동,3839723796.0,472879,7,22,0,0,6761670.0,발달상권,2022,1
20221,11230536,용신동,6377168403.0,934715,10,35,3,2,14227402.0,골목상권,2022,1
20221,11230545,제기동,3290597446.0,451800,3,22,1,0,12183989.0,전통시장,2022,1
20221,11230560,전농1동,3731412813.0,502159,10,22,2,1,11158480.0,골목상권,2022,1
20221,11230570,전농2동,722255200.0,120703,4,5,0,0,2599181.0,골목상권,2022,1
20221,11230600,답십리1동,1435815948.0,188832,7,13,0,0,7140851.0,골목상권,2022,1
20221,11230610,답십리2동,1349807905.0,175908,4,16,0,0,7342302.0,골목상권,2022,1
20221,11230650,장안1동,8203764274.0,1004855,14,38,0,2,8844722.0,골목상권,2022,1
20221,11230660,장안2동,3310949312.0,431201,6,21,0,1,7484255.0,골목상권,2022,1
20221,11230705,청량리동,1580728350.0,223313,4,8,0,0,6109446.0,골목상권,2022,1
20221,11230710,회기동,944580686.0,137769,7,11,0,0,4980832.0,골목상권,2022,1
20221,11230720,휘경1동,1773314435.0,167096,7,14,2,1,5474295.0,골목상권,2022,1
20221,11230730,휘경2동,1468519221.0,203199,2,16,1,0,5079630.0,골목상권,2022,1
20221,11230740,이문1동,4465201429.0,645316,6,20,0,0,8862960.0,골목상권,2022,1
20221,11230750,이문2동,519797833.0,73465,3,8,0,0,4240604.0,전통시장,2022,1
20221,11260520,면목2동,660650494.0,73827,5,12,0,0,6206844.0,골목상권,2022,1
20221,11260540,면목4동,1375575066.0,177355,3,9,0,0,5470900.0,골목상권,2022,1
20221,11260550,면목5동,377202088.0,47217,0,5,0,0,2729855.0,골목상권,2022,1
20221,11260565,면목본동,4227552639.0,557567,5,20,2,1,10123527.0,골목상권,2022,1
20221,11260570,면목7동,3803254257.0,479021,4,10,0,0,7948026.0,골목상권,2022,1
20221,11260575,면목3·8동,1804803539.0,258080,2,10,1,1,,골목상권,2022,1
20221,11260580,상봉1동,653271361.0,96633,12,9,0,0,5300319.0,골목상권,2022,1
20221,11260590,상봉2동,4812125397.0,548496,6,22,0,0,7323409.0,골목상권,2022,1
20221,11260600,중화1동,426479924.0,56882,3,13,0,0,5994408.0,골목상권,2022,1
20221,11260610,중화2동,1509800835.0,224566,3,15,0,0,8027729.0,골목상권,2022,1
20221,11260620,묵1동,941741465.0,128327,4,12,0,0,7603744.0,골목상권,2022,1
20221,11260630,묵2동,81855902.0,10869,3,6,1,1,6144818.0,골목상권,2022,1
20221,11260655,망우본동,4215722482.0,554788,10,19,0,1,10706850.0,골목상권,2022,1
20221,11260660,망우3동,566984295.0,73133,2,7,1,0,4690144.0,골목상권,2022,1
20221,11260680,신내1동,289386635.0,44975,6,22,4,2,5860904.0,골목상권,2022,1
20221,11260690,신내2동,66000000.0,3590,1,7,1,0,2099907.0,전통시장,2022,1
20221,11290525,성북동,677793476.0,99176,7,13,2,0,4301187.0,골목상권,2022,1
20221,11290555,삼선동,2694691999.0,376866,3,15,0,0,10047696.0,골목상권,2022,1
20221,11290575,동선동,1220484518.0,201835,5,22,1,2,8596879.0,골목상권,2022,1
20221,11290580,돈암1동,387976299.0,48649,1,6,0,0,2876664.0,,2022,1
20221,11290600,안암동,2848416514.0,501248,7,25,1,0,6236363.0,골목상권,2022,1
20221,11290610,보문동,462377238.0,55242,2,13,2,1,5632820.0,골목상권,2022,1
20221,11290620,정릉1동,1093519661.0,150728,4,9,0,0,5146489.0,골목상권,2022,1
20221,11290630,정릉2동,668383165.0,72607,3,16,1,0,5962774.0,골목상권,2022,1
20221,11290640,정릉3동,1746728773.0,224513,2,11,1,1,2989513.0,골목상권,2022,1
20221,11290650,정릉4동,1701996433.0,219803,0,8,0,1,3387907.0,골목상권,2022,1
20221,11290660,길음1동,187426057.0,27646,2,12,1,1,6543237.0,골목상권,2022,1
20221,11290685,길음2동,884978084.0,151743,2,7,0,0,4618415.0,골목상권,2022,1
20221,11290705,종암동,911553403.0,141995,0,19,0,0,10955670.0,골목상권,2022,1
20221,11290715,월곡1동,1098729933.0,130084,2,9,0,0,7032896.0,골목상권,2022,1
20221,11290725,월곡2동,1583980664.0,213464,4,17,3,1,6237100.0,골목상권,2022,1
20221,11290760,장위1동,1645936714.0,201360,0,10,0,0,6999341.0,골목상권,2022,1
20221,11290770,장위2동,230761903.0,28748,0,3,0,0,5030450.0,골목상권,2022,1
20221,11290810,석관동,2534459734.0,339364,4,16,0,0,10062873.0,골목상권,2022,1
20221,11305534,삼양동,767197913.0,98707,0,7,0,0,12180015.0,골목상권,2022,1
20221,11305535,미아동,2133137160.0,304741,10,13,0,2,7454425.0,골목상권,2022,1
20221,11305545,송중동,2527413705.0,340058,4,20,0,0,12633692.0,골목상권,2022,1
20221,11305555,송천동,2543348421.0,291054,5,19,2,0,12738608.0,골목상권,2022,1
20221,11305575,삼각산동,369355961.0,47005,2,7,0,1,3363884.0,골목상권,2022,1
20221,11305595,번1동,2893958904.0,393240,4,18,1,0,7079291.0,골목상권,2022,1
20221,11305603,번2동,886916124.0,106618,0,9,0,0,3542107.0,골목상권,2022,1
20221,11305608,번3동,732603234.0,97737,3,4,0,0,3660414.0,골목상권,2022,1
20221,11305615,수유1동,2388989695.0,300324,6,15,0,1,6741933.0,골목상권,2022,1
20221,11305625,수유2동,2095770612.0,281737,4,13,0,1,6283647.0,골목상권,2022,1
20221,11305635,수유3동,4876051630.0,694622,8,24,3,0,10654557.0,골목상권,2022,1
20221,11305645,우이동,1191752325.0,170359,4,16,2,1,4170549.0,골목상권,2022,1
20221,11305660,인수동,2235288556.0,289884,3,19,0,1,9367179.0,골목상권,2022,1
20221,11320511,창1동,1756817677.0,269138,0,10,0,0,4722612.0,골목상권,2022,1
20221,11320512,창2동,2885922624.0,385022,4,17,3,0,10486143.0,골목상권,2022,1
20221,11320513,창3동,477210638.0,49229,3,7,0,0,4153623.0,골목상권,2022,1
20221,11320514,창4동,1139396870.0,183051,5,16,1,1,3697648.0,골목상권,2022,1
20221,11320515,창5동,2886960672.0,382909,5,16,0,0,4555767.0,골목상권,2022,1
20221,11320521,도봉1동,3303969421.0,445386,8,17,1,0,3776409.0,골목상권,2022,1
20221,11320522,도봉2동,166570459.0,23233,2,9,0,0,3600088.0,골목상권,2022,1
20221,11320660,쌍문1동,1880878861.0,257892,4,14,0,0,5192720.0,골목상권,2022,1
20221,11320670,쌍문2동,626445236.0,82750,2,10,0,0,4513348.0,골목상권,2022,1
20221,11320680,쌍문3동,879294217.0,115340,4,8,0,0,5195528.0,골목상권,2022,1
20221,11320681,쌍문4동,296824527.0,49598,1,6,0,0,3075115.0,골목상권,2022,1
20221,11320690,방학1동,3628368151.0,508288,2,26,0,0,7219773.0,골목상권,2022,1
20221,11320700,방학2동,1702916269.0,232693,2,14,0,0,3099673.0,골목상권,2022,1
20221,11320710,방학3동,1107708530.0,151526,3,7,1,1,3696217.0,골목상권,2022,1
20221,11350560,월계1동,1472505848.0,212236,10,18,0,1,5023628.0,골목상권,2022,1
20221,11350570,월계2동,248464543.0,41943,1,13,0,0,4042892.0,골목상권,2022,1
20221,11350580,월계3동,199732547.0,30454,1,8,0,0,2883261.0,,2022,1
20221,11350595,공릉1동,3218738419.0,479309,5,28,1,0,11518654.0,골목상권,2022,1
20221,11350600,공릉2동,2854749600.0,544298,10,24,1,1,7902971.0,골목상권,2022,1
20221,11350611,하계1동,1867905640.0,308083,4,10,0,0,3812631.0,골목상권,2022,1
20221,11350612,하계2동,102104000.0,14299,0,3,0,0,2930802.0,,2022,1
20221,11350619,중계본동,1924417025.0,237055,2,10,0,1,4373887.0,골목상권,2022,1
20221,11350621,중계1동,523558051.0,100768,2,9,0,0,4258648.0,,2022,1
20221,11350624,중계4동,970126327.0,142057,5,4,0,0,3099970.0,골목상권,2022,1
20221,11350625,중계2·3동,1956319336.0,225594,1,8,0,0,,전통시장,2022,1
20221,11350630,상계1동,2576016134.0,322121,2,16,1,0,7786893.0,골목상권,2022,1
20221,11350640,상계2동,2787829613.0,449118,7,20,0,1,11236425.0,골목상권,2022,1
20221,11350665,상계3·4동,996449075.0,156815,5,11,0,0,,골목상권,2022,1
20221,11350670,상계5동,750099637.0,104574,4,12,0,0,6910620.0,골목상권,2022,1
20221,11350695,상계6·7동,3387527073.0,499098,6,21,1,0,,발달상권,2022,1
20221,11350700,상계8동,184587895.0,30769,0,4,0,0,952758.0,,2022,1
20221,11350710,상계9동,171828573.0,28555,1,6,0,0,1985115.0,발달상권,2022,1
20221,11380510,녹번동,1283736818.0,188738,7,16,0,2,7361715.0,골목상권,2022,1
20221,11380520,불광1동,3847352204.0,323145,8,17,2,2,6005641.0,골목상권,2022,1
20221,11380530,불광2동,1462227633.0,208679,1,15,0,0,6031006.0,골목상권,2022,1
20221,11380551,갈현1동,1643318141.0,228501,9,12,1,1,7967560.0,골목상권,2022,1
20221,11380552,갈현2동,2402178494.0,328314,5,21,0,3,6533057.0,골목상권,2022,1
20221,11380560,구산동,2433709912.0,322332,4,17,3,0,5590110.0,골목상권,2022,1
20221,11380570,대조동,2386282622.0,312846,7,21,2,3,10298654.0,골목상권,2022,1
20221,11380580,응암1동,3021676052.0,200312,5,22,0,1,6298106.0,골목상권,2022,1
20221,11380590,응암2동,1648503415.0,226774,3,7,1,0,3750117.0,골목상권,2022,1
20221,11380600,응암3동,4693509768.0,620717,9,20,2,0,7656970.0,골목상권,2022,1
20221,11380625,역촌동,3427376620.0,445532,7,28,0,4,13081272.0,골목상권,2022,1
20221,11380631,신사1동,2163455121.0,287479,3,19,2,0,6815661.0,골목상권,2022,1
20221,11380632,신사2동,928021824.0,125757,5,8,0,0,3715492.0,골목상권,2022,1
20221,11380640,증산동,575064609.0,83491,5,6,0,0,3261881.0,골목상권,2022,1
20221,11380690,진관동,1215364708.0,119102,8,29,3,0,7641229.0,골목상권,2022,1
20221,11410555,북아현동,1045069039.0,141185,0,10,0,0,16197860.0,골목상권,2022,1
20221,11410565,충현동,2651795133.0,398578,5,18,1,0,9883004.0,골목상권,2022,1
20221,11410585,신촌동,7182274567.0,1001767,22,64,0,3,9695235.0,골목상권,2022,1
20221,11410615,연희동,4689040696.0,567092,11,30,2,0,8631034.0,골목상권,2022,1
20221,11410620,홍제1동,1074202911.0,150654,0,18,0,1,5856107.0,골목상권,2022,1
20221,11410640,홍제3동,1389214104.0,193573,2,10,2,0,4213451.0,골목상권,2022,1
20221,11410655,홍제2동,121446193.0,21208,2,5,0,0,2791715.0,,2022,1
20221,11410660,홍은1동,1165920769.0,164280,2,12,1,0,3895420.0,전통시장,2022,1
20221,11410685,홍은2동,1309528463.0,199091,8,20,0,1,4579117.0,골목상권,2022,1
20221,11410700,남가좌2동,1172303713.0,152255,2,20,1,3,5888602.0,골목상권,2022,1
20221,11410710,북가좌1동,1057595252.0,144253,1,7,0,0,2904309.0,골목상권,2022,1
20221,11410720,북가좌2동,2717497114.0,359254,2,21,1,0,13695532.0,골목상권,2022,1
20221,11440555,아현동,705401337.0,85931,3,16,1,2,6074686.0,골목상권,2022,1
20221,11440565,공덕동,1548524682.0,221378,9,18,1,2,14056034.0,골목상권,2022,1
20221,11440585,도화동,1098418802.0,158116,4,17,0,0,3889125.0,골목상권,2022,1
20221,11440590,용강동,2971392033.0,406227,7,19,0,0,7359856.0,골목상권,2022,1
20221,11440600,대흥동,5292497543.0,758293,3,27,0,1,7325154.0,골목상권,2022,1
20221,11440610,염리동,849587402.0,134330,7,7,1,1,3365752.0,골목상권,2022,1
20221,11440630,신수동,489143240.0,74123,0,5,0,0,5562192.0,골목상권,2022,1
20221,11440655,서강동,2920092231.0,429595,7,15,2,0,6024989.0,골목상권,2022,1
20221,11440660,서교동,18378856755.0,2323485,34,92,2,5,15454356.0,골목상권,2022,1
20221,11440680,합정동,3385937327.0,446283,8,17,3,0,5369335.0,골목상권,2022,1
20221,11440690,망원1동,1554841682.0,215672,9,18,1,1,7130604.0,골목상권,2022,1
20221,11440700,망원2동,2544981136.0,291145,6,12,1,1,6380099.0,골목상권,2022,1
20221,11440710,연남동,1533328882.0,209747,8,11,2,2,6805240.0,골목상권,2022,1
20221,11440720,성산1동,2351599808.0,317822,5,12,1,1,6295800.0,골목상권,2022,1
20221,11440730,성산2동,4396072733.0,556746,2,25,1,0,7535517.0,골목상권,2022,1
20221,11440740,상암동,4922701594.0,664339,12,34,3,0,5094792.0,발달상권,2022,1
20221,11470510,목1동,2827254394.0,525803,10,27,1,1,5241930.0,발달상권,2022,1
20221,11470520,목2동,2111344294.0,292038,7,10,0,0,7460396.0,골목상권,2022,1
20221,11470530,목3동,1897240741.0,280359,3,10,0,0,4910399.0,골목상권,2022,1
20221,11470540,목4동,1903404040.0,258114,6,12,1,1,6132136.0,골목상권,2022,1
20221,11470550,목5동,2259055385.0,396010,1,19,1,1,4996205.0,,2022,1
20221,11470560,신월1동,1397849077.0,184983,3,7,0,0,4525591.0,골목상권,2022,1
20221,11470570,신월2동,782992531.0,108023,1,9,1,2,4419350.0,골목상권,2022,1
20221,11470580,신월3동,1367209022.0,179061,1,13,0,0,2998233.0,골목상권,2022,1
20221,11470590,신월4동,1548613462.0,214792,3,7,0,0,3466225.0,골목상권,2022,1
20221,11470600,신월5동,1198475598.0,156784,3,14,1,0,1988706.0,골목상권,2022,1
20221,11470610,신월6동,261210824.0,33616,3,7,1,0,1082712.0,골목상권,2022,1
20221,11470611,신월7동,787957147.0,99066,4,9,1,2,2177857.0,골목상권,2022,1
20221,11470620,신정1동,1598539116.0,195057,2,9,0,2,3987508.0,골목상권,2022,1
20221,11470630,신정2동,785612854.0,115307,4,5,0,0,3791650.0,골목상권,2022,1
20221,11470640,신정3동,1163855808.0,178306,5,16,0,1,7439277.0,골목상권,2022,1
20221,11470650,신정4동,4353002431.0,600979,12,30,0,1,10814253.0,골목상권,2022,1
20221,11470670,신정6동,290644688.0,51399,3,9,0,0,2236511.0,,2022,1
20221,11470680,신정7동,2529979028.0,264238,3,5,0,0,3333059.0,골목상권,2022,1
20221,11500510,염창동,3765362844.0,507807,7,19,1,1,8393946.0,골목상권,2022,1
20221,11500520,등촌1동,6324590335.0,871212,4,22,1,0,5674412.0,골목상권,2022,1
20221,11500530,등촌2동,175194771.0,25022,1,9,0,2,3902583.0,골목상권,2022,1
20221,11500535,등촌3동,2398456412.0,356132,7,22,1,1,6766364.0,골목상권,2022,1
20221,11500540,화곡1동,10240286626.0,1267202,10,43,1,0,16683095.0,골목상권,2022,1
20221,11500550,화곡2동,885126963.0,107718,2,6,0,0,3562788.0,골목상권,2022,1
20221,11500560,화곡3동,640527184.0,91467,5,9,1,0,3847126.0,골목상권,2022,1
20221,11500570,화곡4동,2423772159.0,305475,2,14,1,0,4662375.0,골목상권,2022,1
20221,11500590,화곡본동,1591645206.0,202951,5,15,0,0,8908745.0,골목상권,2022,1
20221,11500591,화곡6동,3884784511.0,449561,10,18,0,1,5162412.0,골목상권,2022,1
20221,11500593,화곡8동,1077347618.0,131028,3,9,0,0,7919315.0,골목상권,2022,1
20221,11500603,가양1동,7895278700.0,1052009,13,53,1,4,3578127.0,골목상권,2022,1
20221,11500604,가양2동,2718407159.0,322717,1,6,1,0,2073862.0,,2022,1
20221,11500605,가양3동,323344332.0,49746,2,4,0,0,1673800.0,골목상권,2022,1
20221,11500611,발산1동,2444516771.0,307315,8,36,2,0,5495476.0,골목상권,2022,1
20221,11500615,우장산동,3644944964.0,472709,11,11,0,0,6533428.0,골목상권,2022,1
20221,11500620,공항동,2006211481.0,289766,9,24,0,0,5901273.0,골목상권,2022,1
20221,11500630,방화1동,5221807179.0,753734,6,25,3,1,7595315.0,골목상권,2022,1
20221,11500640,방화2동,2396762943.0,253458,9,24,1,3,4779614.0,골목상권,2022,1
20221,11500641,방화3동,1138496987.0,177250,7,10,0,1,3140668.0,골목상권,2022,1
20221,11530510,신도림동,1342455275.0,221275,13,24,5,1,6209823.0,골목상권,2022,1
20221,11530520,구로1동,672039800.0,80102,2,9,1,1,2174719.0,,2022,1
20221,11530530,구로2동,1610134057.0,199965,6,24,2,0,9180599.0,골목상권,2022,1
20221,11530540,구로3동,8617094594.0,1275271,15,54,3,1,7024556.0,골목상권,2022,1
20221,11530550,구로4동,2047465991.0,304456,5,12,1,1,7093746.0,골목상권,2022,1
20221,11530560,구로5동,3064790051.0,385054,8,22,0,1,6751342.0,골목상권,2022,1
20221,11530595,가리봉동,1737511496.0,223477,5,11,0,0,3240399.0,골목상권,2022,1
20221,11530720,고척1동,1016961673.0,143242,6,10,0,1,4562820.0,골목상권,2022,1
20221,11530730,고척2동,1063017031.0,150438,6,19,0,1,6047461.0,골목상권,2022,1
20221,11530740,개봉1동,1159538942.0,115596,7,15,1,0,7857987.0,골목상권,2022,1
20221,11530750,개봉2동,486635991.0,77682,2,10,1,0,3944309.0,골목상권,2022,1
20221,11530760,개봉3동,1053216789.0,140747,0,7,0,0,3812725.0,골목상권,2022,1
20221,11530770,오류1동,8079257313.0,839195,6,13,0,2,3751304.0,골목상권,2022,1
20221,11530780,오류2동,1175316384.0,170267,6,18,1,2,5511581.0,골목상권,2022,1
20221,11530790,수궁동,673304622.0,99324,7,8,1,1,1838777.0,골목상권,2022,1
20221,11545510,가산동,22000588464.0,3255131,22,94,2,0,4893747.0,골목상권,2022,1
20221,11545610,독산1동,4023501501.0,538760,8,39,2,0,4711146.0,골목상권,2022,1
20221,11545620,독산2동,997624408.0,126216,4,12,0,0,4055375.0,골목상권,2022,1
20221,11545630,독산3동,1190383155.0,150064,4,15,2,1,6118377.0,골목상권,2022,1
20221,11545640,독산4동,1341499396.0,157345,1,9,0,0,3837607.0,골목상권,2022,1
20221,11545670,시흥1동,2267778411.0,286996,5,29,0,0,5866944.0,골목상권,2022,1
20221,11545690,시흥3동,697331713.0,89785,1,7,0,1,1360935.0,골목상권,2022,1
20221,11545700,시흥4동,2435649041.0,304658,0,7,0,0,2595513.0,골목상권,2022,1
20221,11545710,시흥5동,2280715967.0,296515,2,11,0,0,3841014.0,골목상권,2022,1
20221,11560515,영등포본동,1567024751.0,230728,10,18,0,0,7030113.0,골목상권,2022,1
20221,11560535,영등포동,8973670046.0,972391,12,52,1,0,10305885.0,골목상권,2022,1
20221,11560540,여의동,12327371710.0,1550865,37,56,3,2,5688084.0,발달상권,2022,1
20221,11560550,당산1동,3376022518.0,520745,8,23,1,1,6922920.0,골목상권,2022,1
20221,11560560,당산2동,3124854859.0,430767,8,24,0,0,8286739.0,골목상권,2022,1
20221,11560585,도림동,1106796777.0,145375,2,8,0,0,5520563.0,골목상권,2022,1
20221,11560605,문래동,5445919906.0,806914,8,24,0,1,9211210.0,골목상권,2022,1
20221,11560610,양평1동,1242044487.0,183996,8,13,0,0,5549614.0,골목상권,2022,1
20221,11560620,양평2동,1231643294.0,190377,9,21,1,2,5298646.0,골목상권,2022,1
20221,11560630,신길1동,1462209218.0,210112,7,13,0,0,6066244.0,골목상권,2022,1
20221,11560650,신길3동,907404327.0,113586,1,7,0,0,6315720.0,골목상권,2022,1
20221,11560660,신길4동,261006427.0,34747,1,4,0,0,3087115.0,골목상권,2022,1
20221,11560670,신길5동,45085694.0,7027,0,10,0,1,2443366.0,골목상권,2022,1
20221,11560680,신길6동,1175163248.0,185216,5,8,1,0,6277966.0,골목상권,2022,1
20221,11560690,신길7동,664561614.0,54732,6,12,2,0,3365352.0,골목상권,2022,1
20221,11560700,대림1동,1711732089.0,238359,2,8,0,0,5102173.0,골목상권,2022,1
20221,11560710,대림2동,1573062998.0,199703,4,13,2,1,5232322.0,골목상권,2022,1
20221,11560720,대림3동,2768001686.0,370109,6,10,0,0,7587901.0,골목상권,2022,1
20221,11590510,노량진1동,7496868797.0,1319316,6,26,1,2,6761159.0,전통시장,2022,1
20221,11590520,노량진2동,3111030341.0,510791,0,11,0,0,3364995.0,골목상권,2022,1
20221,11590530,상도1동,3519419933.0,459313,10,30,0,0,8085187.0,골목상권,2022,1
20221,11590540,상도2동,1005993545.0,154188,8,17,1,3,5409569.0,골목상권,2022,1
20221,11590550,상도3동,865728580.0,116115,3,7,0,0,5250194.0,골목상권,2022,1
20221,11590560,상도4동,1076570170.0,110520,0,8,1,0,6812305.0,골목상권,2022,1
20221,11590605,흑석동,3543209910.0,478611,8,15,0,0,7301094.0,골목상권,2022,1
20221,11590620,사당1동,1492234864.0,231392,4,22,0,0,7376000.0,골목상권,2022,1
20221,11590630,사당2동,926105999.0,136712,5,12,0,2,7680424.0,골목상권,2022,1
