기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,11710650,잠실본동,CS300002,편의점,8441399336,1285222,5931794606,2509604730,1137275520,1151369480,1184224504,1172354385,1286570717,1340194166,1169410564,999186033,1011855842,1061150288,1231229322,2271594212,1866383639,5337397888,2992388672,131840531,1820981908,2621770982,1947669278,1192963823,614560037,908808,376414,176010,181971,180958,175202,194667,203474,172940,128575,179705,176584,201651,340140,258567,802861,473827,36084,308139,392651,277263,178829,83721
20222,11710670,잠실2동,CS300002,편의점,782986051,145508,531346609,251639442,98042541,104266850,99115279,106202893,123719046,129875905,121763537,49441963,118756172,106396672,129979442,211260017,167151785,493231612,283551128,24973549,128979381,173272165,262907365,146366462,40283817,98910,46598,18734,19806,19020,19023,22327,24457,22141,8270,24667,20333,26474,37840,27924,84423,60679,8226,28627,30546,44027,26588,7089
20222,11710680,잠실3동,CS300002,편의점,615935055,148118,431506686,184428369,83980068,84999770,86831719,83793892,91901237,101870483,82557886,39676272,150079236,76582016,83441612,147302687,118853232,351067452,259381125,23449052,163842046,137647078,151197167,96495289,37817944,102754,45364,19621,20195,20870,20284,21784,25099,20265,6387,36884,20141,23987,35184,25535,76552,70989,8036,46765,33281,31990,20201,7267
20222,11710690,잠실4동,CS300002,편의점,1624251041,288766,1123633063,500617978,221158610,206938734,219252247,220420740,255862732,248038048,252579930,120267432,230314121,197436222,233525336,460256061,382451869,1056622282,567628759,54293783,246551386,329989610,522127721,322945671,148342870,201531,87235,39039,39008,39308,39324,44852,43871,43364,18435,43333,38548,47955,77398,63097,177594,111172,18932,51083,60218,90307,46122,22104
20222,11710710,잠실6동,CS300002,편의점,1407418256,228562,1057482897,349935359,200604955,221244343,200584861,213606447,221442291,189231586,160703773,95464850,269158508,236088010,218689915,328707758,259309215,958636585,367038352,12147668,202743199,377059883,395403336,231053953,107266899,173662,54900,33429,37261,33125,34010,35837,29425,25475,12908,49206,43474,38612,49833,34529,154574,67674,2998,42897,66347,59142,31646,19214
20222,11740515,강일동,CS300002,편의점,850194206,130746,689572264,160621942,138132282,139199142,139142283,131230434,141868123,83975231,76646711,19841564,182211028,166579342,157374480,223828544,100359248,514689456,335504750,9512642,187060103,256680644,230771158,128581095,37588564,109522,21224,22071,22809,22008,20781,21853,11387,9837,2929,35973,25751,24452,28925,12716,87809,42937,2542,29324,43616,32406,17803,5055
20222,11740520,상일동,CS300002,편의점,946036090,146712,708133381,237902709,147709221,140539625,136845741,137378720,145660074,128817351,109085358,64896195,201962224,145868776,138557564,256802375,137948956,606885171,339150919,13351569,135815760,230308545,212229538,202890751,151439927,112550,34162,22943,22447,22091,22398,22671,18108,16054,9112,35253,26294,21964,35868,18221,89944,56768,4145,27165,34337,31597,28789,20679
20222,11740530,명일1동,CS300002,편의점,2152990602,361672,1414248567,738742035,276823803,272510229,277292514,263002982,324619039,365349157,373392878,215046238,309303277,270785978,303072071,589797495,464985543,1496747802,656242800,43520473,383825548,547697369,526507661,435479452,215960099,228081,133591,44822,45141,47050,42575,48493,62713,70878,32953,53863,48621,55793,99790,70652,233874,127798,12803,82419,84354,82466,68041,31589
20222,11740540,명일2동,CS300002,편의점,1544147746,201516,1074806157,469341589,207889940,214077839,219158248,206188946,227491184,238848920,230492669,69908922,140810614,248597061,308762273,508925572,267143304,744626776,799520970,75307905,346539249,342288509,412260523,273037726,94713834,141270,60246,27857,28333,28246,27504,29330,31705,28541,11139,24595,30237,37535,61484,36526,110610,90906,17904,43207,44144,50550,33666,12045
20222,11740550,고덕1동,CS300002,편의점,1083714596,177692,804759596,278955000,152019318,164160158,150931029,153730857,183918234,149910531,129044469,120136888,225775308,122054227,153920290,261016694,200811189,779057504,304657092,35411760,123755080,249413381,325981100,265837060,83316215,131491,46201,26096,27849,25227,26150,26169,24419,21782,16092,39649,21696,25887,43895,30473,120467,57225,10694,26110,38892,50684,38715,12597
