행정동_코드_명,기준_년분기_코드,총_유동인구_수,유동인구(만명)
종로1·2·3·4가동,20223,13658351.0,1365.8
종로1·2·3·4가동,20251,13650465.0,1365.0
공덕동,20234,13634016.0,1363.4
종로1·2·3·4가동,20243,13527970.0,1352.8
공덕동,20241,13452940.0,1345.3
대조동,20251,13447228.0,1344.7
공덕동,20242,13380266.0,1338.0
대조동,20244,13208241.0,1320.8
대조동,20252,13154681.0,1315.5
역촌동,20221,13081272.0,1308.1
대조동,20243,13055954.0,1305.6
송천동,20222,12998739.0,1299.9
공덕동,20243,12935290.0,1293.5
공덕동,20251,12922123.0,1292.2
송천동,20242,12848569.0,1284.9
송천동,20231,12840550.0,1284.1
제기동,20232,12836042.0,1283.6
공덕동,20244,12821037.0,1282.1
북가좌2동,20222,12790630.0,1279.1
제기동,20244,12779827.0,1278.0
송천동,20221,12738608.0,1273.9
송천동,20224,12737853.0,1273.8
송천동,20232,12723875.0,1272.4
제기동,20224,12720943.0,1272.1
송천동,20243,12713858.0,1271.4
제기동,20242,12709202.0,1270.9
제기동,20222,12698145.0,1269.8
제기동,20234,12658658.0,1265.9
송천동,20233,12658620.0,1265.9
제기동,20223,12649801.0,1265.0
송천동,20234,12634015.0,1263.4
송중동,20221,12633692.0,1263.4
역촌동,20222,12598472.0,1259.8
송천동,20223,12588317.0,1258.8
송중동,20231,12583854.0,1258.4
공덕동,20252,12582687.0,1258.3
송천동,20241,12576946.0,1257.7
제기동,20231,12572168.0,1257.2
역삼2동,20231,12554185.0,1255.4
대조동,20253,12550609.0,1255.1
송중동,20241,12532651.0,1253.3
역삼2동,20253,12482409.0,1248.2
송중동,20224,12482185.0,1248.2
서초3동,20222,12463833.0,1246.4
송중동,20222,12354768.0,1235.5
역촌동,20223,12343852.0,1234.4
대조동,20234,12338298.0,1233.8
송천동,20244,12329187.0,1232.9
역촌동,20231,12324327.0,1232.4
대조동,20242,12310283.0,1231.0
북가좌2동,20223,12307228.0,1230.7
송중동,20223,12303651.0,1230.4
송중동,20232,12289641.0,1229.0
서초3동,20253,12272542.0,1227.3
제기동,20252,12271963.0,1227.2
제기동,20243,12221734.0,1222.2
역삼2동,20224,12206138.0,1220.6
대조동,20233,12205663.0,1220.6
송중동,20233,12204812.0,1220.5
서초3동,20231,12202997.0,1220.3
공덕동,20253,12192896.0,1219.3
송중동,20234,12192120.0,1219.2
서초3동,20221,12185008.0,1218.5
제기동,20221,12183989.0,1218.4
역삼2동,20233,12181308.0,1218.1
삼양동,20221,12180015.0,1218.0
역촌동,20224,12171331.0,1217.1
서초3동,20244,12161523.0,1216.2
역삼2동,20251,12157363.0,1215.7
송중동,20242,12133853.0,1213.4
역삼2동,20243,12129381.0,1212.9
역삼2동,20244,12125350.0,1212.5
대조동,20232,12124479.0,1212.4
제기동,20233,12124205.0,1212.4
역삼2동,20232,12120980.0,1212.1
역삼2동,20234,12114261.0,1211.4
역삼2동,20241,12112419.0,1211.2
서초3동,20223,12108999.0,1210.9
제기동,20251,12098814.0,1209.9
서초3동,20234,12089234.0,1208.9
제기동,20241,12087290.0,1208.7
서초3동,20251,12074292.0,1207.4
전농1동,20244,12037454.0,1203.7
역삼2동,20252,12024460.0,1202.4
종로1·2·3·4가동,20221,12013656.0,1201.4
서초3동,20233,12012993.0,1201.3
서초3동,20252,12000820.0,1200.1
서초3동,20243,11998218.0,1199.8
