기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00~06_유동인구_수,시간대_06~11_유동인구_수,시간대_11~14_유동인구_수,시간대_14~17_유동인구_수,시간대_17~21_유동인구_수,시간대_21~24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20243,11200570,행당2동,4521871.0,2012287.0,2509585.0,815458.0,512977.0,722166.0,803951.0,681406.0,985915.0,1285682.0,944203.0,478640.0,470763.0,717745.0,624841.0,635867.0,636343.0,642970.0,640572.0,636853.0,656465.0,672801.0
20243,11200580,응봉동,2977452.0,1317042.0,1660408.0,571815.0,282217.0,451724.0,554236.0,468492.0,648967.0,932604.0,631547.0,283093.0,273991.0,430506.0,425709.0,421250.0,423912.0,417908.0,419142.0,417113.0,431618.0,446505.0
20243,11200590,금호1가동,3263574.0,1424063.0,1839510.0,572585.0,289157.0,561679.0,649260.0,482405.0,708486.0,856078.0,674868.0,353787.0,376320.0,570096.0,432425.0,453360.0,453427.0,457542.0,452978.0,452991.0,490827.0,502449.0
20243,11200615,금호2·3가동,6275018.0,2832220.0,3442799.0,985557.0,646751.0,1041718.0,1103764.0,992605.0,1504624.0,1775249.0,1270661.0,658544.0,675819.0,1042059.0,852687.0,881434.0,878498.0,881812.0,878798.0,878592.0,932442.0,943443.0
20243,11200620,금호4가동,2885876.0,1327401.0,1558474.0,411184.0,298135.0,527065.0,508846.0,446028.0,694618.0,738421.0,589642.0,320813.0,345558.0,502765.0,388676.0,406528.0,408571.0,407578.0,407745.0,409507.0,423962.0,421986.0
20243,11200645,옥수동,2862565.0,1292721.0,1569844.0,526997.0,262458.0,491876.0,517307.0,401882.0,662046.0,682826.0,593878.0,340953.0,360366.0,520523.0,364020.0,403583.0,405006.0,407152.0,408139.0,410640.0,417681.0,410363.0
20243,11200650,성수1가1동,3079247.0,1483489.0,1595758.0,315852.0,550383.0,703761.0,490336.0,460830.0,558085.0,634934.0,635121.0,455447.0,471333.0,545778.0,336634.0,449894.0,454015.0,459050.0,457997.0,458451.0,406352.0,393490.0
20243,11200660,성수1가2동,5569494.0,2699537.0,2869957.0,532473.0,1178673.0,1363652.0,992577.0,723278.0,778840.0,906231.0,1143173.0,953234.0,985728.0,1064992.0,516136.0,841939.0,847774.0,855319.0,862450.0,865543.0,673943.0,622527.0
20243,11200670,성수2가1동,4858644.0,2450567.0,2408076.0,512213.0,744948.0,953491.0,765387.0,839798.0,1042807.0,1146713.0,1000152.0,631241.0,654548.0,832338.0,593653.0,698487.0,698179.0,698411.0,703912.0,704243.0,679887.0,675525.0
20243,11200690,성수2가3동,5525815.0,2741437.0,2784378.0,444081.0,1274117.0,1263776.0,965709.0,765718.0,812412.0,942045.0,1171450.0,950153.0,972428.0,976850.0,512890.0,846432.0,855850.0,860860.0,866673.0,864769.0,638004.0,593226.0
20243,11200720,송정동,2961513.0,1501543.0,1459970.0,289476.0,626429.0,538096.0,483235.0,414258.0,610019.0,886654.0,653290.0,320300.0,307450.0,409916.0,383905.0,423078.0,424747.0,426236.0,429141.0,424113.0,413726.0,420474.0
20243,11200790,용답동,3290351.0,1611188.0,1679164.0,273029.0,656016.0,581656.0,489906.0,551823.0,737921.0,899707.0,703467.0,376040.0,368222.0,514798.0,428117.0,466360.0,467342.0,470036.0,470435.0,468545.0,467726.0,479906.0
20243,11215710,화양동,9185529.0,4286968.0,4898561.0,833992.0,3941402.0,1607462.0,991888.0,813648.0,997136.0,2436487.0,1787726.0,1010606.0,1039885.0,1636620.0,1274206.0,1271126.0,1271481.0,1292518.0,1301781.0,1326397.0,1386585.0,1335641.0
20243,11215730,군자동,6315541.0,3034029.0,3281511.0,755370.0,1813524.0,1149982.0,884019.0,729936.0,982710.0,1682736.0,1336150.0,754847.0,738408.0,998118.0,805279.0,907653.0,909523.0,914965.0,920678.0,908988.0,873861.0,879873.0
20243,11215740,중곡1동,3737481.0,1796444.0,1941036.0,411677.0,672118.0,768242.0,585292.0,536690.0,763462.0,1049969.0,761318.0,405247.0,403919.0,611565.0,505463.0,526816.0,525105.0,529992.0,528338.0,526762.0,548267.0,552201.0
20243,11215750,중곡2동,4435244.0,2051162.0,2384083.0,677492.0,667026.0,772899.0,699384.0,675900.0,942543.0,1388868.0,909643.0,447760.0,433306.0,643988.0,611680.0,628826.0,626468.0,628280.0,630885.0,626440.0,637982.0,656364.0
20243,11215760,중곡3동,4943489.0,2285462.0,2658028.0,594118.0,664995.0,875318.0,715783.0,828655.0,1264620.0,1466629.0,991999.0,503754.0,509301.0,784472.0,687333.0,692872.0,691185.0,698929.0,693345.0,689953.0,722598.0,754609.0
20243,11215770,중곡4동,6342841.0,2896222.0,3446617.0,856037.0,839916.0,972410.0,917907.0,1036840.0,1719730.0,1867457.0,1299982.0,660165.0,651385.0,991763.0,872087.0,895355.0,893095.0,890006.0,888231.0,880667.0,927429.0,968057.0
20243,11215780,능동,2129513.0,967204.0,1162309.0,286201.0,401796.0,448213.0,325580.0,275262.0,392461.0,557735.0,446073.0,243762.0,243948.0,354104.0,283890.0,301699.0,303174.0,305555.0,305430.0,306334.0,305059.0,302262.0
20243,11215810,광장동,5946361.0,2714886.0,3231474.0,1705181.0,613617.0,637067.0,1129989.0,901107.0,959401.0,1679090.0,1265577.0,667774.0,636523.0,906169.0,791229.0,851795.0,848013.0,857346.0,859045.0,857718.0,838604.0,833841.0
20243,11215820,자양1동,7896923.0,3731075.0,4165848.0,983375.0,1448302.0,1375366.0,1225497.0,1196768.0,1667614.0,2067964.0,1621201.0,927083.0,934176.0,1310103.0,1036397.0,1130024.0,1123301.0,1125620.0,1127573.0,1124978.0,1130522.0,1134906.0
20243,11215830,자양2동,5279162.0,2515946.0,2763216.0,919222.0,648137.0,881023.0,900457.0,772323.0,1158000.0,1578489.0,1122339.0,545074.0,539125.0,786840.0,707295.0,743467.0,743251.0,749197.0,748064.0,743324.0,768595.0,783263.0
20243,11215840,자양3동,6845415.0,3171841.0,3673573.0,1377284.0,928292.0,1017125.0,1115681.0,985694.0,1421339.0,1850964.0,1403361.0,778950.0,771939.0,1130996.0,909206.0,968904.0,964072.0,972532.0,975598.0,972085.0,992911.0,999314.0
20243,11215847,자양4동,8643474.0,4086107.0,4557366.0,910760.0,1711785.0,1507113.0,1297884.0,1353668.0,1862265.0,2240559.0,1762297.0,970079.0,997260.0,1516540.0,1156741.0,1214074.0,1213198.0,1220576.0,1215486.0,1231296.0,1281222.0,1267622.0
20243,11215850,구의1동,7002457.0,3310841.0,3691615.0,852758.0,1356087.0,1354074.0,1107961.0,1038975.0,1292602.0,2066277.0,1475100.0,744043.0,720048.0,1054056.0,942933.0,996559.0,995990.0,1003103.0,1003968.0,998738.0,999293.0,1004805.0
20243,11215860,구의2동,4998537.0,2218111.0,2780425.0,891108.0,621258.0,736170.0,826632.0,762974.0,1160394.0,1447745.0,1025723.0,526141.0,526368.0,786445.0,686113.0,701039.0,702427.0,704735.0,704223.0,699607.0,733761.0,752744.0
20243,11215870,구의3동,6410265.0,2959836.0,3450429.0,1300166.0,822751.0,938591.0,1105773.0,1029379.0,1213607.0,1663847.0,1301288.0,741787.0,777451.0,1106839.0,819052.0,907297.0,906145.0,916064.0,910590.0,920648.0,937003.0,912519.0
20243,11230536,용신동,14274517.0,6994576.0,7279941.0,1310906.0,2582413.0,2467302.0,2271311.0,2243041.0,3399546.0,3388221.0,3053788.0,1909315.0,1872357.0,2341428.0,1709407.0,2054477.0,2049039.0,2065273.0,2075008.0,2076979.0,1988338.0,1965403.0
20243,11230545,제기동,12221734.0,5916346.0,6305387.0,1286881.0,2681536.0,1549840.0,1549422.0,1782472.0,3371581.0,2904857.0,2617579.0,1660627.0,1638165.0,1961592.0,1438917.0,1759235.0,1755942.0,1760137.0,1772007.0,1769613.0,1738834.0,1665964.0
20243,11230560,전농1동,11286951.0,5384537.0,5902414.0,1716102.0,2245230.0,1621971.0,1714594.0,1565294.0,2423761.0,2976776.0,2356823.0,1323502.0,1304761.0,1843039.0,1482050.0,1589746.0,1600676.0,1612375.0,1618076.0,1607199.0,1618022.0,1640858.0
20243,11230570,전농2동,2468454.0,1136735.0,1331720.0,482993.0,284584.0,321881.0,396406.0,369388.0,613203.0,619564.0,508130.0,297579.0,299876.0,425813.0,317493.0,349516.0,350003.0,349305.0,350258.0,348497.0,354806.0,366069.0
