기준_년분기_코드,상권구분_명,상권_명,당월_매출_금액,매출_억원
20223,발달상권,잠실새내역(신천),5668965011.0,56.7
20223,발달상권,문정역,5659118385.0,56.6
20221,발달상권,영등포역(영등포),5633809073.0,56.3
20222,관광특구,동대문패션타운 관광특구,5632860436.0,56.3
20222,발달상권,신논현역,5630163136.0,56.3
20244,발달상권,삼성역,5622462058.0,56.2
20242,발달상권,동대문역사문화공원역,5621503095.0,56.2
20233,발달상권,삼성역,5600799459.0,56.0
20252,발달상권,은마아파트,5600192750.0,56.0
20224,발달상권,뱅뱅사거리,5595255768.0,56.0
20244,발달상권,이태원(이태원역),5584401411.0,55.8
20234,발달상권,문정역,5577130038.0,55.8
20252,관광특구,강남 마이스 관광특구,5574074102.0,55.7
20252,발달상권,신림역(신림),5574068640.0,55.7
20242,발달상권,이태원(이태원역),5568362439.0,55.7
20243,발달상권,서울시청,5562140852.0,55.6
20232,발달상권,문정역,5555377378.0,55.6
20253,발달상권,서울시청,5553425653.0,55.5
20232,발달상권,서울역,5550893065.0,55.5
20232,발달상권,뱅뱅사거리,5550880958.0,55.5
20243,발달상권,명동(명동거리),5547768977.0,55.5
20234,발달상권,서울역,5542058629.0,55.4
20224,관광특구,이태원 관광특구,5539970937.0,55.4
20252,발달상권,건대입구역(건대),5536739976.0,55.4
20232,발달상권,잠실새내역(신천),5535115469.0,55.4
20253,발달상권,잠실새내역(신천),5534326293.0,55.3
20244,발달상권,신논현역,5533806457.0,55.3
20241,발달상권,문정역,5529892544.0,55.3
20222,발달상권,문정역,5527052082.0,55.3
20232,발달상권,연남동(홍대),5511615533.0,55.1
20222,발달상권,은마아파트,5506910348.0,55.1
20221,발달상권,을지로3가역,5501282162.0,55.0
20222,발달상권,구로디지털단지,5494969638.0,54.9
20234,관광특구,동대문패션타운 관광특구,5493045813.0,54.9
20251,발달상권,천호역,5492070686.0,54.9
20233,발달상권,서울역,5480342789.0,54.8
20251,발달상권,성수역,5474560044.0,54.7
20243,발달상권,잠실새내역(신천),5470232777.0,54.7
20251,발달상권,서울대입구역,5462537042.0,54.6
20243,관광특구,이태원 관광특구,5457002413.0,54.6
20243,관광특구,동대문패션타운 관광특구,5455682969.0,54.6
20234,관광특구,이태원 관광특구,5451993082.0,54.5
20241,발달상권,연남동(홍대),5451592360.0,54.5
20251,관광특구,강남 마이스 관광특구,5443817723.0,54.4
20231,발달상권,신사역,5441086077.0,54.4
20231,발달상권,연남동(홍대),5434011548.0,54.3
20243,발달상권,연남동(홍대),5433821296.0,54.3
20222,발달상권,잠실새내역(신천),5426220146.0,54.3
20243,발달상권,영등포역(영등포),5425595728.0,54.3
20242,발달상권,서울시청,5422848906.0,54.2
20224,발달상권,서울역,5393404269.0,53.9
20224,발달상권,문정역,5392612853.0,53.9
20252,발달상권,신논현역,5384071885.0,53.8
20234,발달상권,뱅뱅사거리,5377885986.0,53.8
20252,관광특구,이태원 관광특구,5374108949.0,53.7
20244,발달상권,은마아파트,5364322980.0,53.6
20253,관광특구,종로·청계 관광특구,5355192363.0,53.6
20223,발달상권,DMC(디지털미디어시티),5352952679.0,53.5
20233,발달상권,서울시청,5344951675.0,53.4
20231,발달상권,뱅뱅사거리,5344069476.0,53.4
20231,관광특구,동대문패션타운 관광특구,5341666957.0,53.4
20251,발달상권,서울역,5340493415.0,53.4
20242,발달상권,연남동(홍대),5340266606.0,53.4
20231,발달상권,천호역,5338330837.0,53.4
20232,발달상권,을지로3가역,5317982920.0,53.2
20244,발달상권,명동(명동거리),5316072407.0,53.2
20243,발달상권,뱅뱅사거리,5313816951.0,53.1
20244,관광특구,동대문패션타운 관광특구,5301429250.0,53.0
20233,발달상권,잠실새내역(신천),5295441042.0,53.0
20223,발달상권,교대역(법원.검찰청),5285860310.0,52.9
20231,발달상권,삼성역,5281079201.0,52.8
20251,발달상권,동대문역사문화공원역,5280410399.0,52.8
20241,발달상권,서울역,5274009413.0,52.7
20234,발달상권,삼성역,5270833126.0,52.7
20224,발달상권,이태원(이태원역),5270037986.0,52.7
20232,발달상권,구로디지털단지,5266605585.0,52.7
20224,발달상권,삼성역,5263484546.0,52.6
20244,관광특구,강남 마이스 관광특구,5257072812.0,52.6
20244,관광특구,이태원 관광특구,5256008058.0,52.6
20233,발달상권,DMC(디지털미디어시티),5254830975.0,52.5
20253,발달상권,건대입구역(건대),5248299128.0,52.5
20243,발달상권,삼성역,5239701949.0,52.4
20231,발달상권,문정역,5234740943.0,52.3
20221,발달상권,문정역,5233941199.0,52.3
20222,발달상권,삼성역,5228105320.0,52.3
20242,관광특구,이태원 관광특구,5227495270.0,52.3
20242,발달상권,잠실새내역(신천),5225930447.0,52.3
20244,발달상권,서울시청,5222496085.0,52.2
20242,발달상권,뱅뱅사거리,5216597309.0,52.2
20242,관광특구,동대문패션타운 관광특구,5201653775.0,52.0
20232,발달상권,삼성역,5200729821.0,52.0
20251,발달상권,신논현역,5199693863.0,52.0
20252,발달상권,명동(명동거리),5199569170.0,52.0
20234,발달상권,명동(명동거리),5197996457.0,52.0
20232,관광특구,이태원 관광특구,5182979168.0,51.8
20251,발달상권,건대입구역(건대),5173914032.0,51.7
20223,발달상권,종로3가역,5173242903.0,51.7
20242,발달상권,종로3가역,5170546240.0,51.7
20253,발달상권,영등포역(영등포),5166710095.0,51.7
20221,발달상권,오류동역,5161748699.0,51.6
20232,발달상권,DMC(디지털미디어시티),5154994925.0,51.5
20244,발달상권,성수역,5148941285.0,51.5
20233,발달상권,종로3가역,5148353246.0,51.5
20241,발달상권,이태원(이태원역),5131150363.0,51.3
20241,관광특구,동대문패션타운 관광특구,5127764899.0,51.3
20252,관광특구,동대문패션타운 관광특구,5124401823.0,51.2
20224,발달상권,DMC(디지털미디어시티),5121548233.0,51.2
20234,발달상권,신사역,5119369641.0,51.2
20231,발달상권,DMC(디지털미디어시티),5109075770.0,51.1
20241,발달상권,뱅뱅사거리,5105389998.0,51.1
20233,발달상권,구로디지털단지,5100949494.0,51.0
20233,관광특구,강남 마이스 관광특구,5093736819.0,50.9
20251,발달상권,신림역(신림),5087364906.0,50.9
20224,발달상권,잠실새내역(신천),5086516822.0,50.9
20233,발달상권,교대역(법원.검찰청),5081725522.0,50.8
20222,발달상권,DMC(디지털미디어시티),5066115775.0,50.7
20252,발달상권,종로3가역,5058605627.0,50.6
20243,발달상권,교대역(법원.검찰청),5055352014.0,50.6
20243,관광특구,종로·청계 관광특구,5052699610.0,50.5
20242,발달상권,삼성역,5049513619.0,50.5
20252,발달상권,잠실새내역(신천),5039592219.0,50.4
20224,발달상권,구로디지털단지,5038123038.0,50.4
20221,발달상권,은마아파트,5034896749.0,50.3
20232,발달상권,종로3가역,5033144209.0,50.3
20221,발달상권,구로디지털단지,5026021080.0,50.3
20244,발달상권,연남동(홍대),5023433617.0,50.2
20234,발달상권,서울시청,5020796828.0,50.2
20222,발달상권,교대역(법원.검찰청),5009699253.0,50.1
20223,발달상권,삼성역,5001335025.0,50.0
20243,발달상권,DMC(디지털미디어시티),5000455860.0,50.0
20224,발달상권,천호역,4990812311.0,49.9
20241,발달상권,삼성역,4989756209.0,49.9
20233,발달상권,장한평역(장한평),4986826182.0,49.9
20223,발달상권,천호역,4984210726.0,49.8
20224,발달상권,교대역(법원.검찰청),4981591607.0,49.8
20252,발달상권,서울시청,4978705571.0,49.8
20222,발달상권,가로수길,4967550872.0,49.7
20232,발달상권,교대역(법원.검찰청),4958580663.0,49.6
20242,관광특구,종로·청계 관광특구,4957697392.0,49.6
20244,발달상권,뱅뱅사거리,4953235915.0,49.5
20221,발달상권,홍대입구역(홍대),4949148804.0,49.5
20224,발달상권,포스코사거리,4936077535.0,49.4
20244,발달상권,영등포역(영등포),4927278302.0,49.3
20253,발달상권,DMC(디지털미디어시티),4925404858.0,49.3
20232,발달상권,이태원(이태원역),4923855324.0,49.2
20241,관광특구,이태원 관광특구,4912405486.0,49.1
20222,발달상권,신사역,4907062073.0,49.1
20231,발달상권,구로디지털단지,4892396412.0,48.9
20221,관광특구,동대문패션타운 관광특구,4891806695.0,48.9
20231,발달상권,서울역,4876126116.0,48.8
20251,발달상권,이태원(이태원역),4871004434.0,48.7
20221,발달상권,연남동(홍대),4865206108.0,48.7
20224,발달상권,종로3가역,4855091520.0,48.6
20232,발달상권,서울시청,4854671143.0,48.5
20252,발달상권,영등포역(영등포),4849558096.0,48.5
20221,발달상권,신논현역,4845560225.0,48.5
20243,관광특구,강남 마이스 관광특구,4837532602.0,48.4
20234,관광특구,종로·청계 관광특구,4826347212.0,48.3
20232,발달상권,발산역(마곡),4816254803.0,48.2
20244,관광특구,종로·청계 관광특구,4812516352.0,48.1
20243,발달상권,종로3가역,4811495830.0,48.1
20251,발달상권,영등포역(영등포),4810410689.0,48.1
20253,발달상권,교대역(법원.검찰청),4807394118.0,48.1
20252,관광특구,종로·청계 관광특구,4806691141.0,48.1
20221,발달상권,잠실새내역(신천),4804784238.0,48.0
20251,발달상권,명동(명동거리),4796655994.0,48.0
20234,발달상권,DMC(디지털미디어시티),4794683479.0,47.9
20234,발달상권,잠실새내역(신천),4785641934.0,47.9
20244,발달상권,잠실새내역(신천),4785275679.0,47.9
20253,발달상권,연남동(홍대),4782983461.0,47.8
20222,발달상권,발산역(마곡),4781872422.0,47.8
20223,발달상권,포스코사거리,4772546056.0,47.7
20224,발달상권,발산역(마곡),4764016925.0,47.6
20233,발달상권,포스코사거리,4760998941.0,47.6
20233,발달상권,성수역,4760505238.0,47.6
