기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20224,D,발달상권,3120248,명일역,1020365833.0,163219.0,710718312.0,309647521.0
20224,A,골목상권,3110598,신월문화체육센터,302412395.0,42811.0,203798696.0,98613699.0
20224,D,발달상권,3120110,목동역 8번출구,2719005827.0,393560.0,1954715534.0,764290293.0
20224,A,골목상권,3110865,남강고등학교(남강중학교),972759666.0,127461.0,673560991.0,299198675.0
20224,A,골목상권,3111086,한영중고,164478177.0,25908.0,116901507.0,47576670.0
20224,A,골목상권,3110001,이북5도청사,340230431.0,45923.0,223110639.0,117119792.0
20224,D,발달상권,3120035,퇴계로5가,1224465629.0,163645.0,908555603.0,315910026.0
20224,A,골목상권,3110021,성균관대학교,380476988.0,66626.0,265604320.0,114872668.0
20224,A,골목상권,3110514,서대문우체국,175550518.0,30679.0,128140269.0,47410249.0
20224,A,골목상권,3110997,대청초등학교,1373855330.0,191667.0,962767383.0,411087947.0
20224,D,발달상권,3120191,학동역,2684502351.0,404116.0,2127474429.0,557027922.0
20224,D,발달상권,3120095,홍제역,176689202.0,29733.0,126078740.0,50610462.0
20224,A,골목상권,3110572,서강대역 1번,836761592.0,142739.0,581512383.0,255249209.0
20224,D,발달상권,3120142,대림역,435717696.0,54162.0,277487838.0,158229858.0
20224,A,골목상권,3110419,수락산디자인거리,887970641.0,86243.0,617130737.0,270839904.0
20224,R,전통시장,3130195,도화동 상점가,214758636.0,31232.0,159949785.0,54808851.0
20224,A,골목상권,3110542,마포구청역 7번,512848252.0,78537.0,371993992.0,140854260.0
20224,A,골목상권,3110631,방화초등학교,193538474.0,24064.0,132222741.0,61315733.0
20224,A,골목상권,3110900,낙성대역 1번(관악구민 종합체육센터),576857705.0,90972.0,409740674.0,167117031.0
20224,D,발달상권,3120219,은마아파트,5671478990.0,1063754.0,3742626437.0,1928852553.0
20224,D,발달상권,3120071,성북구청,318366386.0,52276.0,239991915.0,78374471.0
20224,A,골목상권,3111026,문정역 2번,152328787.0,22766.0,111455587.0,40873200.0
20224,D,발달상권,3120053,건대입구역(건대),5913079230.0,722288.0,3987393038.0,1925686192.0
20224,A,골목상권,3110568,광흥창역 1번,1222468680.0,180305.0,839242374.0,383226306.0
20224,A,골목상권,3110892,관악구 중앙길,1796930017.0,270141.0,1264028460.0,532901557.0
20224,A,골목상권,3111007,석촌고분역 4번,1217100482.0,160368.0,847898782.0,369201700.0
20224,A,골목상권,3110441,영신여고,865368182.0,131579.0,585115716.0,280252466.0
20224,D,발달상권,3120102,서교동(홍대),1556029552.0,262332.0,1190897384.0,365132168.0
20224,D,발달상권,3120177,신논현역 1번,481953212.0,65865.0,337453197.0,144500015.0
20224,D,발달상권,3120042,"숙대입구역(남영역, 남영동)",457711117.0,54898.0,362292219.0,95418898.0
20224,A,골목상권,3110144,어린이대공원역 4번,172968149.0,27191.0,119824663.0,53143486.0
20224,A,골목상권,3110465,연신내역 7번,478639181.0,79134.0,330411810.0,148227371.0
20224,D,발달상권,3120170,삼호가든사거리,549276225.0,107517.0,394497434.0,154778791.0
20223,D,발달상권,3120122,강서구청,4047102552.0,489451.0,2853516577.0,1193585975.0
20223,D,발달상권,3120088,구산역,430753541.0,72732.0,312301435.0,118452106.0
20223,D,발달상권,3120234,가락시장역,4026354249.0,487236.0,3072728527.0,953625722.0
20223,A,골목상권,3110172,광진초등학교,871395700.0,118923.0,605976174.0,265419526.0
20223,D,발달상권,3120060,강변역(테크노마트),1847579632.0,167646.0,1249764945.0,597814687.0
20223,A,골목상권,3110317,종암중학교,659965749.0,115077.0,481045957.0,178919792.0
