기준_년분기_코드,행정동_코드,행정동_명,편의점_점포수
20221,11230600,답십리1동,7
20221,11230610,답십리2동,4
20221,11230650,장안1동,14
20221,11230660,장안2동,6
20221,11230705,청량리동,4
20221,11230710,회기동,7
20221,11230720,휘경1동,7
20221,11230730,휘경2동,2
20221,11230740,이문1동,6
20221,11230750,이문2동,3
20221,11260520,면목2동,5
20221,11260540,면목4동,3
20221,11260550,면목5동,0
20221,11260565,면목본동,5
20221,11260570,면목7동,4
20221,11260575,면목3·8동,2
20221,11260580,상봉1동,12
20221,11260590,상봉2동,6
20221,11260600,중화1동,3
20221,11260610,중화2동,3
20221,11260620,묵1동,4
20221,11260630,묵2동,3
20221,11260655,망우본동,10
20221,11260660,망우3동,2
20221,11260680,신내1동,6
20221,11260690,신내2동,1
20221,11290525,성북동,7
20221,11290555,삼선동,3
20221,11290575,동선동,5
20221,11290580,돈암1동,1
20221,11290590,돈암2동,2
20221,11290600,안암동,7
20221,11290610,보문동,2
20221,11290620,정릉1동,4
20221,11290630,정릉2동,3
20221,11290640,정릉3동,2
20221,11290650,정릉4동,0
20221,11290660,길음1동,2
20221,11290685,길음2동,2
20221,11290705,종암동,0
20221,11290715,월곡1동,2
20221,11290725,월곡2동,4
20221,11290760,장위1동,0
20221,11290770,장위2동,0
20221,11290780,장위3동,1
20221,11290810,석관동,4
20221,11305534,삼양동,0
20221,11305535,미아동,10
20221,11305545,송중동,4
20221,11305555,송천동,5
20221,11305575,삼각산동,2
20221,11305595,번1동,4
20221,11305603,번2동,0
20221,11305608,번3동,3
20221,11305615,수유1동,6
20221,11305625,수유2동,4
20221,11305635,수유3동,8
20221,11305645,우이동,4
20221,11305660,인수동,3
20221,11320511,창1동,0
20221,11320512,창2동,4
20221,11320513,창3동,3
20221,11320514,창4동,5
20221,11320515,창5동,5
20221,11320521,도봉1동,8
20221,11320522,도봉2동,2
20221,11320660,쌍문1동,4
20221,11320670,쌍문2동,2
20221,11320680,쌍문3동,4
20221,11320681,쌍문4동,1
20221,11320690,방학1동,2
20221,11320700,방학2동,2
20221,11320710,방학3동,3
20221,11350560,월계1동,10
20221,11350570,월계2동,1
20221,11350580,월계3동,1
20221,11350595,공릉1동,5
20221,11350600,공릉2동,10
20221,11350611,하계1동,4
20221,11350612,하계2동,0
20221,11350619,중계본동,2
20221,11350621,중계1동,2
20221,11350624,중계4동,5
20221,11350625,중계2·3동,1
20221,11350630,상계1동,2
20221,11350640,상계2동,7
20221,11350665,상계3·4동,5
20221,11350670,상계5동,4
20221,11350695,상계6·7동,6
20221,11350700,상계8동,0
20221,11350710,상계9동,1
20221,11350720,상계10동,0
20221,11380510,녹번동,7
20221,11380520,불광1동,8
20221,11380530,불광2동,1
20221,11380551,갈현1동,9
20221,11380552,갈현2동,5
20221,11380560,구산동,4
20221,11380570,대조동,7
20221,11380580,응암1동,5
20221,11380590,응암2동,3
20221,11380600,응암3동,9
20221,11380625,역촌동,7
20221,11380631,신사1동,3
20221,11380632,신사2동,5
20221,11380640,증산동,5
20221,11380650,수색동,1
20221,11380690,진관동,8
20221,11410520,천연동,1
20221,11410555,북아현동,0
20221,11410565,충현동,5
20221,11410585,신촌동,22
20221,11410615,연희동,11
20221,11410620,홍제1동,0
20221,11410640,홍제3동,2
20221,11410655,홍제2동,2
20221,11410660,홍은1동,2
20221,11410685,홍은2동,8
20221,11410690,남가좌1동,2
20221,11410700,남가좌2동,2
20221,11410710,북가좌1동,1
20221,11410720,북가좌2동,2
20221,11440555,아현동,3
20221,11440565,공덕동,9
20221,11440585,도화동,4
20221,11440590,용강동,7
20221,11440600,대흥동,3
20221,11440610,염리동,7
20221,11440630,신수동,0
20221,11440655,서강동,7
20221,11440660,서교동,34
20221,11440680,합정동,8
20221,11440690,망원1동,9
20221,11440700,망원2동,6
20221,11440710,연남동,8
20221,11440720,성산1동,5
20221,11440730,성산2동,2
20221,11440740,상암동,12
20221,11470510,목1동,10
20221,11470520,목2동,7
20221,11470530,목3동,3
20221,11470540,목4동,6
20221,11470550,목5동,1
20221,11470560,신월1동,3
20221,11470570,신월2동,1
20221,11470580,신월3동,1
20221,11470590,신월4동,3
20221,11470600,신월5동,3
20221,11470610,신월6동,3
20221,11470611,신월7동,4
20221,11470620,신정1동,2
20221,11470630,신정2동,4
20221,11470640,신정3동,5
20221,11470650,신정4동,12
20221,11470670,신정6동,3
20221,11470680,신정7동,3
20221,11500510,염창동,7
20221,11500520,등촌1동,4
20221,11500530,등촌2동,1
20221,11500535,등촌3동,7
20221,11500540,화곡1동,10
20221,11500550,화곡2동,2
20221,11500560,화곡3동,5
20221,11500570,화곡4동,2
20221,11500590,화곡본동,5
20221,11500591,화곡6동,10
20221,11500593,화곡8동,3
20221,11500603,가양1동,13
20221,11500604,가양2동,1
20221,11500605,가양3동,2
20221,11500611,발산1동,8
20221,11500615,우장산동,11
20221,11500620,공항동,9
20221,11500630,방화1동,6
20221,11500640,방화2동,9
20221,11500641,방화3동,7
20221,11530510,신도림동,13
20221,11530520,구로1동,2
20221,11530530,구로2동,6
20221,11530540,구로3동,15
20221,11530550,구로4동,5
20221,11530560,구로5동,8
20221,11530595,가리봉동,5
20221,11530720,고척1동,6
20221,11530730,고척2동,6
20221,11530740,개봉1동,7
20221,11530750,개봉2동,2
20221,11530760,개봉3동,0
20221,11530770,오류1동,6
20221,11530780,오류2동,6
20221,11530790,수궁동,7
20221,11530800,항동,1
20221,11545510,가산동,22
20221,11545610,독산1동,8
20221,11545620,독산2동,4
20221,11545630,독산3동,4
20221,11545640,독산4동,1
20221,11545670,시흥1동,5
20221,11545680,시흥2동,0
20221,11545690,시흥3동,1
20221,11545700,시흥4동,0
20221,11545710,시흥5동,2
20221,11560515,영등포본동,10
20221,11560535,영등포동,12
20221,11560540,여의동,37
20221,11560550,당산1동,8
20221,11560560,당산2동,8
20221,11560585,도림동,2
20221,11560605,문래동,8
20221,11560610,양평1동,8
20221,11560620,양평2동,9
20221,11560630,신길1동,7
20221,11560650,신길3동,1
20221,11560660,신길4동,1
20221,11560670,신길5동,0
20221,11560680,신길6동,5
20221,11560690,신길7동,6
20221,11560700,대림1동,2
20221,11560710,대림2동,4
20221,11560720,대림3동,6
20221,11590510,노량진1동,6
20221,11590520,노량진2동,0
20221,11590530,상도1동,10
20221,11590540,상도2동,8
20221,11590550,상도3동,3
20221,11590560,상도4동,0
20221,11590605,흑석동,8
20221,11590620,사당1동,4
20221,11590630,사당2동,5
20221,11590640,사당3동,2
20221,11590650,사당4동,0
20221,11590651,사당5동,2
20221,11590660,대방동,6
20221,11590670,신대방1동,2
20221,11590680,신대방2동,6
20221,11620525,보라매동,3
20221,11620545,청림동,0
20221,11620565,성현동,3
20221,11620575,행운동,8
20221,11620585,낙성대동,2
20221,11620595,청룡동,8
20221,11620605,은천동,3
20221,11620615,중앙동,4
20221,11620625,인헌동,8
20221,11620630,남현동,5
20221,11620645,서원동,3
20221,11620655,신원동,1
20221,11620665,서림동,5
20221,11620685,신사동,6
20221,11620695,신림동,5
20221,11620715,난향동,0
20221,11620725,조원동,2
20221,11620735,대학동,9
20221,11620745,삼성동,0
20221,11620765,미성동,3
20221,11620775,난곡동,6
20221,11650510,서초1동,5
20221,11650520,서초2동,9
20221,11650530,서초3동,20
20221,11650531,서초4동,14
20221,11650540,잠원동,4
20221,11650550,반포본동,3
20221,11650560,반포1동,4
20221,11650570,반포2동,3
20221,11650580,반포3동,2
20221,11650581,반포4동,11
20221,11650590,방배본동,6
20221,11650600,방배1동,5
20221,11650610,방배2동,4
20221,11650620,방배3동,4
20221,11650621,방배4동,6
20221,11650651,양재1동,19
20221,11650652,양재2동,12
20221,11650660,내곡동,3
20221,11680510,신사동,11
20221,11680521,논현1동,22
20221,11680531,논현2동,17
20221,11680545,압구정동,10
20221,11680565,청담동,14
20221,11680580,삼성1동,21
20221,11680590,삼성2동,16
20221,11680600,대치1동,6
20221,11680610,대치2동,15
20221,11680630,대치4동,22
20221,11680640,역삼1동,48
20221,11680650,역삼2동,15
20221,11680655,도곡1동,9
20221,11680656,도곡2동,6
20221,11680660,개포1동,0
20221,11680670,개포2동,6
20221,11680690,개포4동,7
20221,11680700,세곡동,4
20221,11680720,일원본동,3
20221,11680730,일원1동,2
20221,11680740,일원2동,0
20221,11680750,수서동,9
20221,11710510,풍납1동,2
20221,11710520,풍납2동,3
20221,11710531,거여1동,3
20221,11710532,거여2동,2
20221,11710540,마천1동,6
20221,11710550,마천2동,3
20221,11710561,방이1동,7
20221,11710562,방이2동,9
20221,11710566,오륜동,4
20221,11710570,오금동,9
20221,11710580,송파1동,5
20221,11710590,송파2동,7
20221,11710600,석촌동,8
20221,11710610,삼전동,11
20221,11710620,가락본동,10
20221,11710631,가락1동,1
20221,11710632,가락2동,4
20221,11710641,문정1동,4
20221,11710642,문정2동,16
20221,11710646,장지동,6
20221,11710647,위례동,4
20221,11710650,잠실본동,16
20221,11710670,잠실2동,2
20221,11710680,잠실3동,12
20221,11710690,잠실4동,1
20221,11710710,잠실6동,11
20221,11710720,잠실7동,0
20221,11740515,강일동,10
20221,11740520,상일동,4
20221,11740530,명일1동,3
20221,11740540,명일2동,4
20221,11740550,고덕1동,2
20221,11740560,고덕2동,1
20221,11740570,암사1동,7
20221,11740580,암사2동,3
20221,11740590,암사3동,0
20221,11740600,천호1동,3
20221,11740610,천호2동,13
20221,11740620,천호3동,7
20221,11740640,성내1동,4
20221,11740650,성내2동,3
20221,11740660,성내3동,7
20221,11740685,길동,11
20221,11740690,둔촌1동,1
20221,11740700,둔촌2동,6
20222,11110515,청운효자동,4
20222,11110530,사직동,4
20222,11110540,삼청동,0
20222,11110550,부암동,2
20222,11110560,평창동,3
20222,11110570,무악동,0
20222,11110580,교남동,6
20222,11110600,가회동,1
20222,11110615,종로1·2·3·4가동,20
20222,11110630,종로5·6가동,5
20222,11110640,이화동,3
20222,11110650,혜화동,7
20222,11110670,창신1동,1
20222,11110680,창신2동,0
20222,11110690,창신3동,0
20222,11110700,숭인1동,4
20222,11110710,숭인2동,2
20222,11140520,소공동,11
20222,11140540,회현동,21
20222,11140550,명동,28
20222,11140570,필동,3
20222,11140580,장충동,2
20222,11140590,광희동,8
20222,11140605,을지로동,5
20222,11140615,신당동,4
20222,11140625,다산동,0
20222,11140635,약수동,4
20222,11140645,청구동,1
20222,11140650,신당5동,0
20222,11140665,동화동,4
20222,11140670,황학동,3
20222,11140680,중림동,0
20222,11170510,후암동,4
20222,11170520,용산2가동,1
20222,11170530,남영동,9
20222,11170555,청파동,4
20222,11170560,원효로1동,8
20222,11170570,원효로2동,3
20222,11170580,효창동,2
20222,11170590,용문동,2
20222,11170625,한강로동,17
20222,11170630,이촌1동,6
20222,11170640,이촌2동,2
20222,11170650,이태원1동,7
20222,11170660,이태원2동,4
20222,11170685,한남동,4
20222,11170690,서빙고동,6
20222,11170700,보광동,1
20222,11200520,왕십리2동,1
20222,11200535,왕십리도선동,12
20222,11200540,마장동,2
20222,11200550,사근동,13
20222,11200560,행당1동,10
20222,11200570,행당2동,2
20222,11200580,응봉동,0
20222,11200590,금호1가동,0
20222,11200615,금호2·3가동,4
20222,11200620,금호4가동,3
20222,11200645,옥수동,3
20222,11200650,성수1가1동,3
20222,11200660,성수1가2동,6
20222,11200670,성수2가1동,4
20222,11200690,성수2가3동,7
20222,11200720,송정동,1
20222,11200790,용답동,5
20222,11215710,화양동,21
20222,11215730,군자동,3
20222,11215740,중곡1동,2
20222,11215750,중곡2동,8
20222,11215760,중곡3동,3
20222,11215770,중곡4동,4
20222,11215780,능동,5
20222,11215810,광장동,2
20222,11215820,자양1동,4
20222,11215830,자양2동,10
20222,11215840,자양3동,6
20222,11215847,자양4동,3
20222,11215850,구의1동,6
20222,11215860,구의2동,4
20222,11215870,구의3동,7
20222,11230536,용신동,10
20222,11230545,제기동,3
20222,11230560,전농1동,10
20222,11230570,전농2동,4
20222,11230600,답십리1동,7
20222,11230610,답십리2동,4
20222,11230650,장안1동,14
20222,11230660,장안2동,6
20222,11230705,청량리동,5
20222,11230710,회기동,6
20222,11230720,휘경1동,7
20222,11230730,휘경2동,2
20222,11230740,이문1동,7
20222,11230750,이문2동,2
20222,11260520,면목2동,5
20222,11260540,면목4동,3
20222,11260550,면목5동,0
20222,11260565,면목본동,5
20222,11260570,면목7동,4
20222,11260575,면목3·8동,2
20222,11260580,상봉1동,12
20222,11260590,상봉2동,6
20222,11260600,중화1동,3
20222,11260610,중화2동,3
20222,11260620,묵1동,4
20222,11260630,묵2동,3
20222,11260655,망우본동,11
20222,11260660,망우3동,2
20222,11260680,신내1동,6
20222,11260690,신내2동,1
20222,11290525,성북동,7
20222,11290555,삼선동,3
20222,11290575,동선동,5
20222,11290580,돈암1동,1
20222,11290590,돈암2동,2
20222,11290600,안암동,7
20222,11290610,보문동,2
20222,11290620,정릉1동,5
20222,11290630,정릉2동,3
20222,11290640,정릉3동,2
20222,11290650,정릉4동,0
20222,11290660,길음1동,2
20222,11290685,길음2동,2
20222,11290705,종암동,0
20222,11290715,월곡1동,2
20222,11290725,월곡2동,4
20222,11290760,장위1동,0
20222,11290770,장위2동,0
20222,11290780,장위3동,1
20222,11290810,석관동,5
20222,11305534,삼양동,0
20222,11305535,미아동,10
20222,11305545,송중동,4
20222,11305555,송천동,5
20222,11305575,삼각산동,2
20222,11305595,번1동,4
20222,11305603,번2동,1
20222,11305608,번3동,3
20222,11305615,수유1동,7
20222,11305625,수유2동,3
20222,11305635,수유3동,9
20222,11305645,우이동,3
20222,11305660,인수동,3
20222,11320511,창1동,0
20222,11320512,창2동,5
20222,11320513,창3동,3
20222,11320514,창4동,6
20222,11320515,창5동,6
20222,11320521,도봉1동,8
20222,11320522,도봉2동,4
20222,11320660,쌍문1동,4
20222,11320670,쌍문2동,2
20222,11320680,쌍문3동,3
20222,11320681,쌍문4동,2
20222,11320690,방학1동,3
20222,11320700,방학2동,3
20222,11320710,방학3동,3
20222,11350560,월계1동,11
20222,11350570,월계2동,1
20222,11350580,월계3동,1
20222,11350595,공릉1동,5
20222,11350600,공릉2동,10
20222,11350611,하계1동,5
20222,11350612,하계2동,0
20222,11350619,중계본동,2
20222,11350621,중계1동,2
20222,11350624,중계4동,5
20222,11350625,중계2·3동,1
20222,11350630,상계1동,3
20222,11350640,상계2동,6
20222,11350665,상계3·4동,5
20222,11350670,상계5동,4
20222,11350695,상계6·7동,6
20222,11350700,상계8동,0
20222,11350710,상계9동,1
20222,11350720,상계10동,0
20222,11380510,녹번동,7
20222,11380520,불광1동,8
20222,11380530,불광2동,1
20222,11380551,갈현1동,8
20222,11380552,갈현2동,6
20222,11380560,구산동,3
20222,11380570,대조동,8
20222,11380580,응암1동,5
20222,11380590,응암2동,3
20222,11380600,응암3동,8
20222,11380625,역촌동,8
20222,11380631,신사1동,3
20222,11380632,신사2동,4
20222,11380640,증산동,6
20222,11380650,수색동,1
20222,11380690,진관동,7
20222,11410520,천연동,1
20222,11410555,북아현동,0
20222,11410565,충현동,5
20222,11410585,신촌동,22
20222,11410615,연희동,11
20222,11410620,홍제1동,0
20222,11410640,홍제3동,2
20222,11410655,홍제2동,3
20222,11410660,홍은1동,2
20222,11410685,홍은2동,8
20222,11410690,남가좌1동,2
20222,11410700,남가좌2동,2
20222,11410710,북가좌1동,1
20222,11410720,북가좌2동,2
20222,11440555,아현동,3
20222,11440565,공덕동,9
20222,11440585,도화동,4
20222,11440590,용강동,7
20222,11440600,대흥동,4
20222,11440610,염리동,7
20222,11440630,신수동,1
20222,11440655,서강동,7
20222,11440660,서교동,34
20222,11440680,합정동,8
20222,11440690,망원1동,9
20222,11440700,망원2동,6
20222,11440710,연남동,7
20222,11440720,성산1동,5
20222,11440730,성산2동,2
20222,11440740,상암동,13
20222,11470510,목1동,10
20222,11470520,목2동,7
20222,11470530,목3동,3
20222,11470540,목4동,6
20222,11470550,목5동,1
20222,11470560,신월1동,3
20222,11470570,신월2동,1
20222,11470580,신월3동,1
20222,11470590,신월4동,3
20222,11470600,신월5동,3
20222,11470610,신월6동,3
20222,11470611,신월7동,4
20222,11470620,신정1동,2
20222,11470630,신정2동,4
20222,11470640,신정3동,4
20222,11470650,신정4동,12
20222,11470670,신정6동,3
20222,11470680,신정7동,3
20222,11500510,염창동,8
20222,11500520,등촌1동,6
20222,11500530,등촌2동,1
20222,11500535,등촌3동,8
20222,11500540,화곡1동,10
20222,11500550,화곡2동,2
20222,11500560,화곡3동,5
20222,11500570,화곡4동,2
20222,11500590,화곡본동,5
20222,11500591,화곡6동,9
20222,11500593,화곡8동,3
20222,11500603,가양1동,12
20222,11500604,가양2동,3
20222,11500605,가양3동,2
20222,11500611,발산1동,8
20222,11500615,우장산동,12
20222,11500620,공항동,9
20222,11500630,방화1동,7
20222,11500640,방화2동,9
20222,11500641,방화3동,5
20222,11530510,신도림동,13
20222,11530520,구로1동,2
20222,11530530,구로2동,6
20222,11530540,구로3동,15
20222,11530550,구로4동,5
20222,11530560,구로5동,8
20222,11530595,가리봉동,5
20222,11530720,고척1동,6
20222,11530730,고척2동,6
20222,11530740,개봉1동,7
20222,11530750,개봉2동,4
20222,11530760,개봉3동,0
20222,11530770,오류1동,6
20222,11530780,오류2동,6
20222,11530790,수궁동,7
20222,11530800,항동,2
20222,11545510,가산동,22
20222,11545610,독산1동,8
20222,11545620,독산2동,4
20222,11545630,독산3동,4
20222,11545640,독산4동,1
20222,11545670,시흥1동,5
20222,11545680,시흥2동,0
20222,11545690,시흥3동,1
20222,11545700,시흥4동,0
20222,11545710,시흥5동,2
20222,11560515,영등포본동,10
20222,11560535,영등포동,12
20222,11560540,여의동,38
20222,11560550,당산1동,8
20222,11560560,당산2동,11
20222,11560585,도림동,3
20222,11560605,문래동,8
20222,11560610,양평1동,8
20222,11560620,양평2동,10
20222,11560630,신길1동,7
20222,11560650,신길3동,1
20222,11560660,신길4동,1
20222,11560670,신길5동,0
20222,11560680,신길6동,6
20222,11560690,신길7동,6
20222,11560700,대림1동,2
20222,11560710,대림2동,6
20222,11560720,대림3동,6
20222,11590510,노량진1동,6
20222,11590520,노량진2동,1
20222,11590530,상도1동,10
20222,11590540,상도2동,8
20222,11590550,상도3동,3
20222,11590560,상도4동,0
20222,11590605,흑석동,8
20222,11590620,사당1동,4
20222,11590630,사당2동,5
20222,11590640,사당3동,2
20222,11590650,사당4동,0
20222,11590651,사당5동,2
20222,11590660,대방동,6
20222,11590670,신대방1동,2
20222,11590680,신대방2동,6
20222,11620525,보라매동,2
20222,11620545,청림동,0
20222,11620565,성현동,3
20222,11620575,행운동,6
20222,11620585,낙성대동,3
20222,11620595,청룡동,8
20222,11620605,은천동,4
20222,11620615,중앙동,4
20222,11620625,인헌동,7
20222,11620630,남현동,4
20222,11620645,서원동,3
20222,11620655,신원동,1
20222,11620665,서림동,5
20222,11620685,신사동,6
20222,11620695,신림동,5
20222,11620715,난향동,0
20222,11620725,조원동,3
20222,11620735,대학동,9
20222,11620745,삼성동,0
20222,11620765,미성동,3
20222,11620775,난곡동,6
20222,11650510,서초1동,5
20222,11650520,서초2동,10
20222,11650530,서초3동,19
20222,11650531,서초4동,15
20222,11650540,잠원동,4
20222,11650550,반포본동,4
20222,11650560,반포1동,4
20222,11650570,반포2동,4
20222,11650580,반포3동,2
20222,11650581,반포4동,10
20222,11650590,방배본동,6
20222,11650600,방배1동,5
20222,11650610,방배2동,4
20222,11650620,방배3동,4
20222,11650621,방배4동,6
20222,11650651,양재1동,19
20222,11650652,양재2동,12
20222,11650660,내곡동,3
20222,11680510,신사동,10
20222,11680521,논현1동,23
20222,11680531,논현2동,17
20222,11680545,압구정동,9
20222,11680565,청담동,14
20222,11680580,삼성1동,20
20222,11680590,삼성2동,15
20222,11680600,대치1동,6
20222,11680610,대치2동,15
20222,11680630,대치4동,21
20222,11680640,역삼1동,48
20222,11680650,역삼2동,14
20222,11680655,도곡1동,9
20222,11680656,도곡2동,6
20222,11680660,개포1동,0
20222,11680670,개포2동,6
20222,11680690,개포4동,7
20222,11680700,세곡동,4
20222,11680720,일원본동,3
20222,11680730,일원1동,2
20222,11680740,일원2동,0
20222,11680750,수서동,9
20222,11710510,풍납1동,2
20222,11710520,풍납2동,2
20222,11710531,거여1동,3
20222,11710532,거여2동,2
20222,11710540,마천1동,6
20222,11710550,마천2동,3
20222,11710561,방이1동,6
20222,11710562,방이2동,10
20222,11710566,오륜동,4
20222,11710570,오금동,9
20222,11710580,송파1동,5
20222,11710590,송파2동,6
20222,11710600,석촌동,8
20222,11710610,삼전동,11
20222,11710620,가락본동,9
20222,11710631,가락1동,1
20222,11710632,가락2동,3
20222,11710641,문정1동,4
20222,11710642,문정2동,16
20222,11710646,장지동,6
20222,11710647,위례동,3
20222,11710650,잠실본동,17
20222,11710670,잠실2동,1
20222,11710680,잠실3동,10
20222,11710690,잠실4동,1
20222,11710710,잠실6동,10
20222,11710720,잠실7동,0
20222,11740515,강일동,10
20222,11740520,상일동,4
20222,11740530,명일1동,3
20222,11740540,명일2동,4
20222,11740550,고덕1동,2
20222,11740560,고덕2동,2
20222,11740570,암사1동,8
20222,11740580,암사2동,3
20222,11740590,암사3동,0
20222,11740600,천호1동,3
20222,11740610,천호2동,12
20222,11740620,천호3동,6
20222,11740640,성내1동,3
20222,11740650,성내2동,3
20222,11740660,성내3동,6
20222,11740685,길동,13
20222,11740690,둔촌1동,1
20222,11740700,둔촌2동,6
20223,11110515,청운효자동,4
20223,11110530,사직동,4
20223,11110540,삼청동,0
20223,11110550,부암동,2
20223,11110560,평창동,3
20223,11110570,무악동,0
20223,11110580,교남동,6
20223,11110600,가회동,1
20223,11110615,종로1·2·3·4가동,20
20223,11110630,종로5·6가동,5
20223,11110640,이화동,3
20223,11110650,혜화동,7
20223,11110670,창신1동,1
20223,11110680,창신2동,0
20223,11110690,창신3동,0
20223,11110700,숭인1동,4
20223,11110710,숭인2동,1
20223,11140520,소공동,11
20223,11140540,회현동,22
20223,11140550,명동,29
20223,11140570,필동,3
20223,11140580,장충동,2
20223,11140590,광희동,9
20223,11140605,을지로동,5
20223,11140615,신당동,4
20223,11140625,다산동,0
20223,11140635,약수동,4
20223,11140645,청구동,1
20223,11140650,신당5동,0
20223,11140665,동화동,4
20223,11140670,황학동,3
20223,11140680,중림동,1
20223,11170510,후암동,5
20223,11170520,용산2가동,2
20223,11170530,남영동,9
20223,11170555,청파동,4
20223,11170560,원효로1동,8
20223,11170570,원효로2동,3
20223,11170580,효창동,2
20223,11170590,용문동,2
20223,11170625,한강로동,17
20223,11170630,이촌1동,6
20223,11170640,이촌2동,2
20223,11170650,이태원1동,6
20223,11170660,이태원2동,4
20223,11170685,한남동,4
20223,11170690,서빙고동,6
20223,11170700,보광동,1
20223,11200520,왕십리2동,2
20223,11200535,왕십리도선동,11
20223,11200540,마장동,2
20223,11200550,사근동,13
20223,11200560,행당1동,9
20223,11200570,행당2동,2
20223,11200580,응봉동,0
20223,11200590,금호1가동,0
20223,11200615,금호2·3가동,4
20223,11200620,금호4가동,4
20223,11200645,옥수동,3
20223,11200650,성수1가1동,3
20223,11200660,성수1가2동,6
20223,11200670,성수2가1동,4
20223,11200690,성수2가3동,7
20223,11200720,송정동,1
20223,11200790,용답동,5
20223,11215710,화양동,21
20223,11215730,군자동,4
20223,11215740,중곡1동,2
20223,11215750,중곡2동,8
20223,11215760,중곡3동,3
20223,11215770,중곡4동,4
20223,11215780,능동,5
20223,11215810,광장동,3
20223,11215820,자양1동,4
20223,11215830,자양2동,10
20223,11215840,자양3동,6
20223,11215847,자양4동,3
20223,11215850,구의1동,6
20223,11215860,구의2동,4
20223,11215870,구의3동,7
20223,11230536,용신동,11
20223,11230545,제기동,3
20223,11230560,전농1동,10
20223,11230570,전농2동,3
20223,11230600,답십리1동,7
20223,11230610,답십리2동,4
20223,11230650,장안1동,13
20223,11230660,장안2동,8
20223,11230705,청량리동,5
20223,11230710,회기동,5
20223,11230720,휘경1동,7
20223,11230730,휘경2동,2
20223,11230740,이문1동,7
20223,11230750,이문2동,2
20223,11260520,면목2동,5
20223,11260540,면목4동,3
20223,11260550,면목5동,0
20223,11260565,면목본동,6
20223,11260570,면목7동,4
20223,11260575,면목3·8동,2
20223,11260580,상봉1동,12
20223,11260590,상봉2동,7
20223,11260600,중화1동,3
20223,11260610,중화2동,3
20223,11260620,묵1동,4
20223,11260630,묵2동,3
20223,11260655,망우본동,11
20223,11260660,망우3동,2
20223,11260680,신내1동,7
20223,11260690,신내2동,1
20223,11290525,성북동,7
20223,11290555,삼선동,5
20223,11290575,동선동,5
20223,11290580,돈암1동,1
20223,11290590,돈암2동,2
20223,11290600,안암동,7
20223,11290610,보문동,2
20223,11290620,정릉1동,4
20223,11290630,정릉2동,3
20223,11290640,정릉3동,2
20223,11290650,정릉4동,1
20223,11290660,길음1동,2
20223,11290685,길음2동,2
20223,11290705,종암동,0
20223,11290715,월곡1동,2
20223,11290725,월곡2동,4
20223,11290760,장위1동,0
20223,11290770,장위2동,0
20223,11290780,장위3동,1
20223,11290810,석관동,6
20223,11305534,삼양동,0
20223,11305535,미아동,10
20223,11305545,송중동,5
20223,11305555,송천동,5
20223,11305575,삼각산동,2
20223,11305595,번1동,4
20223,11305603,번2동,1
20223,11305608,번3동,3
20223,11305615,수유1동,7
20223,11305625,수유2동,4
20223,11305635,수유3동,8
20223,11305645,우이동,3
