행정동_코드_명,기준_년분기_코드,당월_매출_금액,매출(억원)
논현2동,20251,9137913223.0,91.4
청담동,20224,9135563614.0,91.4
청담동,20223,9131701464.0,91.3
청담동,20222,9131050456.0,91.3
역삼2동,20221,9127201429.0,91.3
가양1동,20244,9106388635.0,91.1
광희동,20224,9090490182.0,90.9
삼성1동,20224,9080947289.0,90.8
수서동,20242,9075882134.0,90.8
논현1동,20231,9073258944.0,90.7
삼성1동,20231,9067942318.0,90.7
논현1동,20251,9063168896.0,90.6
역삼2동,20243,9058410843.0,90.6
광희동,20233,9044044206.0,90.4
성수2가3동,20222,9032670501.0,90.3
신림동,20224,9025586625.0,90.3
수서동,20234,9017270027.0,90.2
삼성1동,20242,9014901713.0,90.1
장안1동,20232,9001372230.0,90.0
광희동,20253,8995757358.0,90.0
구로3동,20244,8984244068.0,89.8
성수2가3동,20224,8979922471.0,89.8
영등포동,20221,8973670046.0,89.7
삼성1동,20234,8972950058.0,89.7
서초2동,20223,8969516534.0,89.7
논현1동,20221,8962494237.0,89.6
신촌동,20232,8943215372.0,89.4
구로3동,20241,8931052212.0,89.3
가양1동,20232,8910201108.0,89.1
영등포동,20242,8895880035.0,89.0
구로3동,20231,8891667108.0,88.9
삼성1동,20223,8889201847.0,88.9
수서동,20244,8887483853.0,88.9
청담동,20243,8883638487.0,88.8
삼성1동,20251,8865449337.0,88.7
방이2동,20243,8859055188.0,88.6
장안1동,20233,8855868862.0,88.6
성수2가3동,20252,8840688709.0,88.4
광희동,20243,8820693599.0,88.2
광희동,20234,8818299616.0,88.2
성수2가3동,20232,8805179521.0,88.1
신림동,20231,8801606675.0,88.0
방이2동,20242,8798843228.0,88.0
문정2동,20253,8764332533.0,87.6
광희동,20232,8755227918.0,87.6
잠실본동,20223,8753633526.0,87.5
방이2동,20224,8733220329.0,87.3
수서동,20252,8732409959.0,87.3
수서동,20224,8729810696.0,87.3
가양1동,20241,8728910552.0,87.3
구로3동,20252,8727063505.0,87.3
방이2동,20223,8710393686.0,87.1
장안1동,20223,8708378708.0,87.1
청담동,20234,8694370754.0,86.9
청담동,20242,8681298890.0,86.8
삼성1동,20241,8672739713.0,86.7
수서동,20231,8667926879.0,86.7
광희동,20222,8661304039.0,86.6
문정2동,20243,8639032048.0,86.4
영등포동,20243,8631497117.0,86.3
청담동,20253,8626630771.0,86.3
문정2동,20224,8617916649.0,86.2
구로3동,20221,8617094594.0,86.2
문정2동,20223,8597986995.0,86.0
신촌동,20223,8576127624.0,85.8
장안1동,20222,8569452017.0,85.7
성수2가3동,20234,8565172359.0,85.7
삼성1동,20222,8563714388.0,85.6
문정2동,20244,8555360751.0,85.6
화양동,20243,8542166333.0,85.4
가양1동,20222,8537125225.0,85.4
청담동,20244,8534276544.0,85.3
가양1동,20252,8514600948.0,85.1
장안1동,20224,8510657828.0,85.1
화양동,20244,8502725533.0,85.0
수서동,20241,8490266772.0,84.9
방이2동,20222,8481321522.0,84.8
화양동,20241,8473303061.0,84.7
문정2동,20232,8467247132.0,84.7
방이2동,20244,8466919432.0,84.7
신촌동,20234,8465211202.0,84.7
문정2동,20234,8456220477.0,84.6
신림동,20232,8455347509.0,84.6
방이2동,20234,8454183708.0,84.5
서초2동,20222,8444276848.0,84.4
잠실본동,20222,8441399336.0,84.4
회현동,20253,8438022580.0,84.4
가양1동,20223,8437757053.0,84.4
신촌동,20224,8433318503.0,84.3
문정2동,20242,8431593273.0,84.3
방이2동,20233,8422236963.0,84.2
잠실본동,20232,8413289864.0,84.1
서초2동,20253,8403851469.0,84.0
광희동,20231,8397989931.0,84.0
성수2가3동,20242,8394797086.0,83.9
신촌동,20233,8390217809.0,83.9
회현동,20244,8389148741.0,83.9
노량진1동,20233,8381834946.0,83.8
성수2가3동,20244,8378880223.0,83.8
수서동,20222,8369884586.0,83.7
신림동,20221,8368197742.0,83.7
광희동,20244,8350020002.0,83.5
서초2동,20233,8347485135.0,83.5
성수2가3동,20231,8344702998.0,83.4
문정2동,20252,8336689141.0,83.4
광희동,20252,8332506907.0,83.3
신촌동,20253,8320301809.0,83.2
문정2동,20222,8317866748.0,83.2
회현동,20243,8304182049.0,83.0
광희동,20241,8302184393.0,83.0
영등포동,20253,8300393215.0,83.0
광희동,20242,8269863100.0,82.7
청담동,20231,8263279335.0,82.6
성수2가3동,20251,8262300348.0,82.6
잠실본동,20233,8257227578.0,82.6
가양1동,20224,8252274617.0,82.5
방이2동,20232,8249524450.0,82.5
노량진1동,20223,8246675121.0,82.5
성수2가3동,20241,8244511786.0,82.4
노량진1동,20234,8243355431.0,82.4
삼성2동,20233,8235037178.0,82.4
역삼2동,20244,8222242692.0,82.2
회현동,20242,8214503605.0,82.1
잠실본동,20242,8211677292.0,82.1
삼성2동,20223,8209701751.0,82.1
장안1동,20221,8203764274.0,82.0
가양1동,20231,8199718734.0,82.0
삼성2동,20232,8197704462.0,82.0
영등포동,20244,8194332912.0,81.9
구로3동,20251,8193128765.0,81.9
장안1동,20231,8182876270.0,81.8
청담동,20252,8181617988.0,81.8
회현동,20252,8165180462.0,81.7
수서동,20223,8133908008.0,81.3
잠실본동,20243,8124736187.0,81.2
문정2동,20231,8115020621.0,81.2
성수2가3동,20243,8102231858.0,81.0
문정2동,20241,8096200745.0,81.0
방이2동,20221,8096075358.0,81.0
장안1동,20253,8088911487.0,80.9
방이2동,20241,8086792856.0,80.9
방이2동,20253,8086354590.0,80.9
오류1동,20221,8079257313.0,80.8
화양동,20252,8065794382.0,80.7
잠실본동,20221,8044497943.0,80.4
서초2동,20224,8043252068.0,80.4
노량진1동,20224,8039310321.0,80.4
장안1동,20234,8022550100.0,80.2
성수2가3동,20221,8021478201.0,80.2
노량진1동,20222,8019867659.0,80.2
청담동,20221,8014728784.0,80.1
장안1동,20243,8004038639.0,80.0
신촌동,20222,7997295646.0,80.0
수서동,20251,7992313710.0,79.9
잠실본동,20224,7984493678.0,79.8
청룡동,20223,7982703845.0,79.8
영등포동,20252,7968925141.0,79.7
문정2동,20251,7958553367.0,79.6
회현동,20232,7939951149.0,79.4
청담동,20241,7936961502.0,79.4
신촌동,20231,7917600069.0,79.2
가양1동,20221,7895278700.0,79.0
노량진1동,20232,7887338798.0,78.9
노량진1동,20231,7873664242.0,78.7
광희동,20221,7855918682.0,78.6
삼성1동,20221,7854244607.0,78.5
서초2동,20221,7853701771.0,78.5
신림동,20233,7846283736.0,78.5
방이2동,20252,7844605584.0,78.4
역삼2동,20253,7841295704.0,78.4
문정2동,20221,7824917746.0,78.2
가양1동,20251,7824754727.0,78.2
장안1동,20242,7817831053.0,78.2
문정2동,20233,7802041605.0,78.0
삼성2동,20222,7790986561.0,77.9
영등포동,20251,7777452203.0,77.8
신사동,20222,7775337875.0,77.8
회현동,20233,7756367603.0,77.6
회현동,20234,7754329770.0,77.5
역삼2동,20252,7728400327.0,77.3
방이2동,20231,7726234547.0,77.3
청룡동,20243,7724668316.0,77.2
회현동,20224,7722711790.0,77.2
청룡동,20233,7717293728.0,77.2
청룡동,20242,7708529885.0,77.1
장안1동,20244,7697607773.0,77.0
청룡동,20222,7674316951.0,76.7
삼성2동,20243,7668013311.0,76.7
잠실본동,20253,7636180603.0,76.4
방이2동,20251,7624670722.0,76.2
서초2동,20252,7617823105.0,76.2
청룡동,20232,7590199317.0,75.9
삼성2동,20224,7581371019.0,75.8
장안1동,20252,7576596594.0,75.8
청담동,20251,7562991953.0,75.6
청룡동,20224,7556428717.0,75.6
광희동,20251,7549866824.0,75.5
잠실본동,20234,7542026766.0,75.4
신촌동,20243,7512479702.0,75.1
서초2동,20232,7500563635.0,75.0
노량진1동,20221,7496868797.0,75.0
신촌동,20242,7479221342.0,74.8
등촌1동,20233,7471760270.0,74.7
