기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20241,11110630,종로5·6가동,CS300002,편의점,2871471525.0,438126.0,2293745852.0,577725673.0,411899908.0,460364908.0,468190796.0,483444482.0,469845758.0,315015036.0,262710637.0,222279516.0,666591788.0,485952539.0,445218025.0,695087634.0,356342023.0,1939649664.0,835569716.0,28696552.0,416047422.0,785792793.0,636105984.0,583377438.0,325199197.0,354140.0,83986.0,65037.0,72539.0,74217.0,73232.0,69115.0,44670.0,39316.0,25091.0,115431.0,83471.0,70120.0,99165.0,44848.0,289646.0,142037.0,6379.0,80942.0,126284.0,91232.0,82183.0,44664.0
20241,11110690,창신3동,CS300002,편의점,104914521.0,13064.0,79538549.0,25375972.0,15403161.0,13973808.0,15515638.0,15717105.0,18928837.0,12952802.0,12423170.0,5896219.0,11212257.0,12167941.0,16189580.0,36302819.0,23145705.0,66614454.0,38300067.0,412354.0,14840995.0,37860414.0,18274398.0,24201568.0,9324792.0,9889.0,3175.0,1771.0,1927.0,1824.0,2147.0,2220.0,1597.0,1578.0,697.0,1926.0,1523.0,2037.0,4285.0,2596.0,7614.0,5450.0,183.0,2192.0,4096.0,2449.0,2799.0,1345.0
20241,11140590,광희동,CS300002,편의점,8302184393.0,1247378.0,6403126653.0,1899057740.0,1140983972.0,1352581726.0,1287397947.0,1338027043.0,1284135965.0,1044413673.0,854644067.0,753217167.0,1576591984.0,1320320617.0,1172558352.0,2184923725.0,1294572548.0,4833327814.0,3220988346.0,74222519.0,1634699890.0,2341678203.0,1727756103.0,1412007352.0,863952099.0,974486.0,272892.0,178104.0,199682.0,202057.0,206274.0,188369.0,146162.0,126730.0,97950.0,281051.0,221705.0,178293.0,303902.0,164477.0,737170.0,492943.0,11844.0,273413.0,371802.0,240145.0,206063.0,126844.0
20241,11140645,청구동,CS300002,편의점,791922357.0,117460.0,586111802.0,205810555.0,116758614.0,113193558.0,111906219.0,120167403.0,124086008.0,112097688.0,93712867.0,92785781.0,107083820.0,88586018.0,121385460.0,237728000.0,144353278.0,492956339.0,298966018.0,5341794.0,117418928.0,260927996.0,181607334.0,160826578.0,65799727.0,87301.0,30159.0,16957.0,17183.0,17191.0,18151.0,17819.0,16104.0,14055.0,10456.0,19193.0,15812.0,19835.0,32268.0,19896.0,72525.0,44935.0,1082.0,21591.0,37984.0,24524.0,22697.0,9582.0
20241,11140670,황학동,CS300002,편의점,1417466138.0,205726.0,1035646758.0,381819380.0,215192292.0,208047835.0,204069408.0,187917366.0,220419857.0,203599246.0,178220134.0,220980613.0,223057412.0,188923717.0,182598606.0,342385019.0,259520771.0,920616750.0,496849388.0,2760086.0,171255260.0,408691260.0,390100091.0,261232114.0,183427327.0,150744.0,54982.0,30004.0,30185.0,30048.0,29813.0,30694.0,28647.0,26335.0,26332.0,36102.0,29953.0,29832.0,47748.0,35759.0,134954.0,70772.0,634.0,30876.0,61184.0,49381.0,35608.0,28043.0
20241,11170570,원효로2동,CS300002,편의점,1698748667.0,236269.0,1319685837.0,379062830.0,254726645.0,262327436.0,260779531.0,276411195.0,265441030.0,208151628.0,170911202.0,138029704.0,307925391.0,291829473.0,221038133.0,423157616.0,316768350.0,1109675378.0,516971551.0,11666470.0,207064871.0,516308457.0,414676992.0,298541779.0,178388357.0,189989.0,46280.0,35881.0,37730.0,38759.0,40658.0,36961.0,24525.0,21755.0,17258.0,52586.0,45289.0,30379.0,54717.0,36040.0,155358.0,74939.0,2692.0,32994.0,80068.0,51604.0,39801.0,23137.0
20241,11200560,행당1동,CS300002,편의점,1525080684.0,281489.0,1117838406.0,407242278.0,225440103.0,207780578.0,220628204.0,229135806.0,234853715.0,225971157.0,181271121.0,152284480.0,266206683.0,201168288.0,250410250.0,403677475.0,251333508.0,976836951.0,548243733.0,32415829.0,332205543.0,454523628.0,272503878.0,262704398.0,170727408.0,208388.0,73101.0,41550.0,39776.0,41562.0,42267.0,43233.0,40922.0,32179.0,23626.0,52854.0,38797.0,47300.0,76394.0,42518.0,171572.0,109917.0,12122.0,69465.0,80477.0,49030.0,44092.0,26303.0
20241,11215760,중곡3동,CS300002,편의점,1222514256.0,158876.0,887976588.0,334537668.0,176920377.0,180697170.0,168074196.0,186603501.0,175681344.0,175443848.0,159093820.0,94315762.0,175504882.0,157173113.0,180696374.0,382609376.0,232214749.0,720037073.0,502477183.0,9961610.0,199872160.0,409772835.0,264347305.0,223283613.0,115276733.0,116712.0,42164.0,22867.0,23241.0,22473.0,24441.0,23690.0,21744.0,20420.0,12189.0,30645.0,22514.0,22271.0,44464.0,26793.0,97691.0,61185.0,1084.0,25506.0,56240.0,35657.0,26113.0,14276.0
20241,11215850,구의1동,CS300002,편의점,1516064373.0,229466.0,1077188079.0,438876294.0,212550590.0,211342267.0,219428896.0,212671602.0,221194724.0,238360636.0,200515658.0,195305708.0,213689436.0,165405262.0,192957698.0,429745072.0,318961197.0,1007039422.0,509024951.0,8398560.0,325015028.0,508872987.0,294632799.0,262269191.0,116875808.0,165388.0,64078.0,32615.0,32669.0,33107.0,33483.0,33514.0,34086.0,29992.0,26741.0,38672.0,28387.0,30065.0,60743.0,44858.0,150199.0,79267.0,1869.0,59424.0,75175.0,38926.0,36127.0,17945.0
20241,11215870,구의3동,CS300002,편의점,3984483657.0,508575.0,2783966493.0,1200517164.0,551656114.0,494831615.0,555413397.0,568527130.0,613538237.0,623170761.0,577346403.0,166884090.0,522442542.0,696007885.0,815458373.0,1308033080.0,475657687.0,2093442977.0,1885103088.0,64920903.0,851558458.0,1164644753.0,765471514.0,762733295.0,369217142.0,368237.0,140338.0,73261.0,68366.0,74711.0,74931.0,76968.0,72953.0,67385.0,23984.0,90832.0,92589.0,94469.0,141514.0,65187.0,301786.0,206418.0,15527.0,108630.0,153164.0,95146.0,90788.0,44949.0
