상권구분_코드,상권구분_명,상권_코드,상권_명,행정동_코드,행정동_코드_명
A,골목상권,3110359,수유시장옆,11305635,수유3동
A,골목상권,3110367,강북구청,11305635,수유3동
A,골목상권,3110368,송천초등학교,11305555,송천동
A,골목상권,3110369,성신여대운정그린캠퍼스,11305535,미아동
A,골목상권,3110370,도봉세무서,11305555,송천동
A,골목상권,3110396,쌍문역1번(쌍리단길),11320511,창1동
A,골목상권,3110397,도봉산입구,11320521,도봉1동
A,골목상권,3110398,쌍문2동우체국,11320670,쌍문2동
A,골목상권,3110399,창2동주민센터,11320512,창2동
A,골목상권,3110390,방학초등학교,11320700,방학2동
A,골목상권,3110391,샘말어린이공원,11320700,방학2동
A,골목상권,3110392,발바닥공원,11320681,쌍문4동
A,골목상권,3110393,국민은행방학지점,11320710,방학3동
A,골목상권,3110373,수유역 2번,11305595,번1동
A,골목상권,3110374,송중초등학교,11305545,송중동
A,골목상권,3110375,서울북부고용노동지청,11305603,번2동
A,골목상권,3110376,수송초등학교,11305595,번1동
A,골목상권,3110377,미아사거리역 3번,11305545,송중동
A,골목상권,3110378,송중동주민센터,11305545,송중동
A,골목상권,3110379,KT&G 북부지사,11305595,번1동
A,골목상권,3110380,강북문화정보도서관,11305603,번2동
A,골목상권,3110381,번동주공2단지,11305608,번3동
A,골목상권,3110382,솔밭공원역 1번,11320660,쌍문1동
A,골목상권,3110383,덕성여대시반거리,11320660,쌍문1동
A,골목상권,3110384,문이교,11320660,쌍문1동
A,골목상권,3110780,신길대성유니드아파트,11560670,신길5동
A,골목상권,3110781,대림한신아파트,11560700,대림1동
A,골목상권,3110782,영등포시장역 4번,11560535,영등포동
A,골목상권,3110783,영등포시장역 1번,11560535,영등포동
A,골목상권,3110385,효문고등학교,11320660,쌍문1동
A,골목상권,3110386,연산군묘,11320710,방학3동
A,골목상권,3110387,쌍문초등학교,11320660,쌍문1동
A,골목상권,3110388,도봉우체국,11320680,쌍문3동
A,골목상권,3110389,한일병원,11320680,쌍문3동
A,골목상권,3110394,방학중학교,11320700,방학2동
A,골목상권,3110395,신한은행 방학동지점,11320690,방학1동
A,골목상권,3110430,중계초등학교,11350624,중계4동
A,골목상권,3110431,상계역,11350624,중계4동
A,골목상권,3110480,연신내역 3번,11380520,불광1동
A,골목상권,3110481,불광역 7번,11380570,대조동
A,골목상권,3110455,역촌노인복지관,11380625,역촌동
A,골목상권,3110456,구산보건지소,11380560,구산동
A,골목상권,3110457,예일여고,11380560,구산동
A,골목상권,3110505,홍남교남측,11410615,연희동
A,골목상권,3110506,연희임광아파트,11410615,연희동
A,골목상권,3110483,연천초등학교,11380520,불광1동
A,골목상권,3110484,역촌역 3번,11380510,녹번동
A,골목상권,3110470,신진과학기술고등학교,11380580,응암1동
A,골목상권,3110471,응암동우체국,11380590,응암2동
A,골목상권,3110517,서대문소방서,11410615,연희동
A,골목상권,3110518,서대문구청,11410615,연희동
A,골목상권,3110491,불광중학교,11380530,불광2동
A,골목상권,3110492,하나고등학교,11380690,진관동
A,골목상권,3110493,북가좌초등학교,11410710,북가좌1동
A,골목상권,3110507,명지대학교,11410685,홍은2동
A,골목상권,3110508,서연중학교,11410615,연희동
A,골목상권,3110534,경기대학교,11410565,충현동
A,골목상권,3110535,영천시장입구,11410520,천연동
A,골목상권,3110519,서대문구보건소별관,11410620,홍제1동
A,골목상권,3110520,경의중앙 신촌역,11410585,신촌동
A,골목상권,3110566,경의선책거리,11440660,서교동
A,골목상권,3110542,마포구청역 7번,11440700,망원2동
A,골목상권,3110543,중암중학교,11440730,성산2동
A,골목상권,3110544,망리단길,11440690,망원1동
A,골목상권,3110545,마포구청역 1번,11440730,성산2동
A,골목상권,3110584,아현역 4번,11440555,아현동
A,골목상권,3110553,가좌역 2번,11440730,성산2동
A,골목상권,3110554,망원역 1번,11440660,서교동
A,골목상권,3110555,홍익지구대,11440660,서교동
A,골목상권,3110580,양원초등학교,11440600,대흥동
A,골목상권,3110581,염리초등학교,11440590,용강동
A,골목상권,3110582,이대역 5번,11440610,염리동
A,골목상권,3110583,공덕래미안3차아파트,11440555,아현동
A,골목상권,3110567,광흥창역 6번,11440655,서강동
A,골목상권,3110568,광흥창역 1번,11440655,서강동
A,골목상권,3110421,석계역 1번,11350560,월계1동
A,골목상권,3110422,노원역 9번,11350720,상계10동
A,골목상권,3110585,마포경찰서,11440555,아현동
A,골목상권,3110586,서울서부지방법원,11440565,공덕동
A,골목상권,3110587,공덕동주민센터,11440565,공덕동
